[rosmaster.main][INFO] 2020-02-27 08:24:40,124: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 08:24:40,124: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 08:24:40,125: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 08:24:40,125: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 08:24:40,126: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 08:24:40,126: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 08:24:40,181: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:40,184: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34213] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:40,277: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:40,277: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:40,283: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42835/
[rosmaster.master][INFO] 2020-02-27 08:24:40,283: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42835/
[rosmaster.master][INFO] 2020-02-27 08:24:40,284: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42835/
[rosmaster.master][INFO] 2020-02-27 08:24:40,287: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42835/
[rosmaster.master][INFO] 2020-02-27 08:24:51,098: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33193] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,101: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,101: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,101: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,101: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,101: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,102: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,102: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,102: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,102: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,102: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,102: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,102: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,102: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,102: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 08:24:51,199: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40365/
[rosmaster.master][INFO] 2020-02-27 08:24:51,200: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40365/
[rosmaster.master][INFO] 2020-02-27 08:24:51,201: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40365/
[rosmaster.master][INFO] 2020-02-27 08:24:51,210: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37869/
[rosmaster.master][INFO] 2020-02-27 08:24:51,210: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37869/
[rosmaster.master][INFO] 2020-02-27 08:24:51,211: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37869/
[rosmaster.master][INFO] 2020-02-27 08:24:51,221: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35779/
[rosmaster.master][INFO] 2020-02-27 08:24:51,222: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35779/
[rosmaster.master][INFO] 2020-02-27 08:24:51,222: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35779/
[rosmaster.master][INFO] 2020-02-27 08:24:51,239: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37447/
[rosmaster.master][INFO] 2020-02-27 08:24:51,240: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37447/
[rosmaster.master][INFO] 2020-02-27 08:24:51,241: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37447/
[rosmaster.master][INFO] 2020-02-27 08:24:51,249: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37869/
[rosmaster.master][INFO] 2020-02-27 08:24:51,251: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37869/
[rosmaster.master][INFO] 2020-02-27 08:24:51,252: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37869/
[rosmaster.master][INFO] 2020-02-27 08:24:51,255: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 08:24:51,256: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40365/
[rosmaster.master][INFO] 2020-02-27 08:24:51,257: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 08:24:51,259: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40365/
[rosmaster.master][INFO] 2020-02-27 08:24:51,261: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40365/
[rosmaster.master][INFO] 2020-02-27 08:24:51,262: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37869/
[rosmaster.master][INFO] 2020-02-27 08:24:51,263: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40365/
[rosmaster.master][INFO] 2020-02-27 08:24:51,264: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42835/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40365/']
[rosmaster.master][INFO] 2020-02-27 08:24:51,264: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37869/
[rosmaster.master][INFO] 2020-02-27 08:24:51,266: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42835/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40365/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 08:24:51,267: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42835/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40365/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37869/']
[rosmaster.master][INFO] 2020-02-27 08:24:51,267: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37869/
