[rosmaster.main][INFO] 2019-12-31 09:12:02,541: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 09:12:02,541: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 09:12:02,542: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 09:12:02,542: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 09:12:02,542: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 09:12:02,542: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 09:12:02,602: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,606: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40057] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,717: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,717: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,717: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,717: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,718: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,718: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,718: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,718: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,718: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,718: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,718: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,718: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:12:02,719: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42277/
[rosmaster.master][INFO] 2019-12-31 09:12:02,720: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42277/
[rosmaster.master][INFO] 2019-12-31 09:12:02,721: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42277/
[rosmaster.master][INFO] 2019-12-31 09:12:02,724: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42277/
[rosmaster.master][INFO] 2019-12-31 09:12:02,740: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40791/
[rosmaster.master][INFO] 2019-12-31 09:12:02,741: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40791/
[rosmaster.master][INFO] 2019-12-31 09:12:02,742: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42277/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40791/']
[rosmaster.master][INFO] 2019-12-31 09:12:02,742: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40791/
[rosmaster.master][INFO] 2019-12-31 09:12:02,745: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42277/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40791/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 09:12:02,748: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,749: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,749: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,762: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37223/
[rosmaster.master][INFO] 2019-12-31 09:12:02,763: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37223/
[rosmaster.master][INFO] 2019-12-31 09:12:02,764: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37223/
[rosmaster.master][INFO] 2019-12-31 09:12:02,766: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44929/
[rosmaster.master][INFO] 2019-12-31 09:12:02,766: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44929/
[rosmaster.master][INFO] 2019-12-31 09:12:02,767: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44929/
[rosmaster.master][INFO] 2019-12-31 09:12:02,775: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,776: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,777: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,778: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,779: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,781: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,781: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,782: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,783: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,785: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,786: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,787: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,788: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,788: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,789: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,789: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40791/
[rosmaster.master][INFO] 2019-12-31 09:12:02,790: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40791/
[rosmaster.master][INFO] 2019-12-31 09:12:02,791: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,791: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40791/
[rosmaster.master][INFO] 2019-12-31 09:12:02,792: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,793: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40791/
[rosmaster.master][INFO] 2019-12-31 09:12:02,794: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,795: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
[rosmaster.master][INFO] 2019-12-31 09:12:02,798: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:12:02,800: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:12:02,801: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,802: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:12:02,803: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,804: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:12:02,804: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,806: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:12:02,807: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,808: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 09:12:02,808: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,810: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 09:12:02,810: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40791/
[rosmaster.master][INFO] 2019-12-31 09:12:02,811: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:41573/
