[rosmaster.main][INFO] 2020-02-27 17:07:21,419: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 17:07:21,419: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 17:07:21,420: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 17:07:21,420: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 17:07:21,420: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 17:07:21,420: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 17:07:21,484: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,485: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42911] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,565: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,565: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,565: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,565: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,565: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,565: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,565: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,565: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,566: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,566: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,566: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,566: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,566: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,566: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 17:07:21,597: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33721/
[rosmaster.master][INFO] 2020-02-27 17:07:21,597: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33721/
[rosmaster.master][INFO] 2020-02-27 17:07:21,598: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33721/
[rosmaster.master][INFO] 2020-02-27 17:07:21,601: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33721/
[rosmaster.master][INFO] 2020-02-27 17:07:21,710: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34881/
[rosmaster.master][INFO] 2020-02-27 17:07:21,710: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34881/
[rosmaster.master][INFO] 2020-02-27 17:07:21,711: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34881/
[rosmaster.master][INFO] 2020-02-27 17:07:21,720: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33721/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34881/']
[rosmaster.master][INFO] 2020-02-27 17:07:21,721: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33721/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34881/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 17:07:21,903: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34881/
[rosmaster.master][INFO] 2020-02-27 17:07:21,903: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34881/
[rosmaster.master][INFO] 2020-02-27 17:07:21,904: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34881/
[rosmaster.master][INFO] 2020-02-27 17:07:21,905: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34881/
[rosmaster.master][INFO] 2020-02-27 17:07:21,907: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38657/
[rosmaster.master][INFO] 2020-02-27 17:07:21,907: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 17:07:21,908: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38657/
[rosmaster.master][INFO] 2020-02-27 17:07:21,908: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
