[rosmaster.main][INFO] 2019-12-23 03:37:58,625: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-23 03:37:58,626: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-23 03:37:58,626: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-23 03:37:58,627: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-23 03:37:58,627: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-23 03:37:58,627: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-23 03:37:58,694: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,697: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40759] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,806: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,807: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,807: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,807: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,807: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,807: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,807: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,807: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,807: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,807: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,807: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,808: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 03:37:58,809: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33679/
[rosmaster.master][INFO] 2019-12-23 03:37:58,809: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33679/
[rosmaster.master][INFO] 2019-12-23 03:37:58,810: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33679/
[rosmaster.master][INFO] 2019-12-23 03:37:58,813: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33679/
[rosmaster.master][INFO] 2019-12-23 03:37:58,830: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45927/
[rosmaster.master][INFO] 2019-12-23 03:37:58,831: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45927/
[rosmaster.master][INFO] 2019-12-23 03:37:58,831: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45927/
[rosmaster.master][INFO] 2019-12-23 03:37:58,838: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42263/
[rosmaster.master][INFO] 2019-12-23 03:37:58,839: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42263/
[rosmaster.master][INFO] 2019-12-23 03:37:58,839: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42263/
[rosmaster.master][INFO] 2019-12-23 03:37:58,847: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36839/
[rosmaster.master][INFO] 2019-12-23 03:37:58,848: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36839/
[rosmaster.master][INFO] 2019-12-23 03:37:58,849: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:36839/
[rosmaster.master][INFO] 2019-12-23 03:37:58,862: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42263/
