[rosmaster.main][INFO] 2020-02-28 17:34:47,980: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 17:34:47,980: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 17:34:47,981: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 17:34:47,981: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 17:34:47,981: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 17:34:47,981: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 17:34:48,035: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,037: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41769] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,043: +PUB [/rosout] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/
[rosmaster.master][INFO] 2020-02-28 17:34:48,053: +SERVICE [/monitor/get_loggers] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/
[rosmaster.master][INFO] 2020-02-28 17:34:48,057: +SERVICE [/monitor/set_logger_level] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/
[rosmaster.master][INFO] 2020-02-28 17:34:48,104: +SUB [/whycon/poses] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/
[rosmaster.master][INFO] 2020-02-28 17:34:48,105: +SUB [/decision_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/
[rosmaster.master][INFO] 2020-02-28 17:34:48,107: +SUB [/detection_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/
[rosmaster.master][INFO] 2020-02-28 17:34:48,109: +SUB [/arm_status] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/
[rosmaster.master][INFO] 2020-02-28 17:34:48,109: +PUB [/stats_sr] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/
[rosmaster.master][INFO] 2020-02-28 17:34:48,110: +PUB [/serviced_info] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/
[rosmaster.master][INFO] 2020-02-28 17:34:48,111: +PUB [/led_control_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/
[rosmaster.master][INFO] 2020-02-28 17:34:48,112: +PUB [/base_cell_int_topic] /monitor http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/
[rosmaster.master][INFO] 2020-02-28 17:34:48,140: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,140: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,140: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,140: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,140: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,140: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,140: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,140: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,140: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,140: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,140: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,141: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,141: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,141: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:34:48,144: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41015/
[rosmaster.master][INFO] 2020-02-28 17:34:48,145: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41015/
[rosmaster.master][INFO] 2020-02-28 17:34:48,146: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41015/
[rosmaster.master][INFO] 2020-02-28 17:34:48,149: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41015/
[rosmaster.master][INFO] 2020-02-28 17:34:48,171: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37659/
[rosmaster.master][INFO] 2020-02-28 17:34:48,171: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37659/
[rosmaster.master][INFO] 2020-02-28 17:34:48,172: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37659/
[rosmaster.master][INFO] 2020-02-28 17:34:48,181: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41015/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37659/']
[rosmaster.master][INFO] 2020-02-28 17:34:48,182: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41015/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46469/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37659/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 17:34:48,187: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37145/
[rosmaster.master][INFO] 2020-02-28 17:34:48,188: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37145/
[rosmaster.master][INFO] 2020-02-28 17:34:48,188: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37145/
[rosmaster.master][INFO] 2020-02-28 17:34:48,194: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46069/
[rosmaster.master][INFO] 2020-02-28 17:34:48,196: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46069/
[rosmaster.master][INFO] 2020-02-28 17:34:48,197: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46069/
[rosmaster.master][INFO] 2020-02-28 17:34:48,201: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:35763/
[rosmaster.master][INFO] 2020-02-28 17:34:48,202: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:35763/
[rosmaster.master][INFO] 2020-02-28 17:34:48,202: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:35763/
[rosmaster.master][INFO] 2020-02-28 17:34:48,232: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37659/
[rosmaster.master][INFO] 2020-02-28 17:34:48,233: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37659/
[rosmaster.master][INFO] 2020-02-28 17:34:48,234: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37659/
[rosmaster.master][INFO] 2020-02-28 17:34:48,235: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37145/
[rosmaster.master][INFO] 2020-02-28 17:34:48,236: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37659/
[rosmaster.master][INFO] 2020-02-28 17:34:48,237: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:37145/
