[rosmaster.main][INFO] 2019-12-28 00:04:30,241: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 00:04:30,241: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 00:04:30,242: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 00:04:30,242: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 00:04:30,242: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 00:04:30,243: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 00:04:30,289: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:30,290: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40725] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:30,365: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:30,365: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:30,369: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34967/
[rosmaster.master][INFO] 2019-12-28 00:04:30,370: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34967/
[rosmaster.master][INFO] 2019-12-28 00:04:30,371: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34967/
[rosmaster.master][INFO] 2019-12-28 00:04:30,374: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34967/
[rosmaster.master][INFO] 2019-12-28 00:04:33,483: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__32953] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,486: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,486: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,486: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,486: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,486: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,487: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,487: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,487: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,487: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,487: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,487: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,487: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:04:33,575: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39509/
[rosmaster.master][INFO] 2019-12-28 00:04:33,576: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39509/
[rosmaster.master][INFO] 2019-12-28 00:04:33,577: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39509/
[rosmaster.master][INFO] 2019-12-28 00:04:33,579: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,580: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,581: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,593: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:32973/
[rosmaster.master][INFO] 2019-12-28 00:04:33,594: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:32973/
[rosmaster.master][INFO] 2019-12-28 00:04:33,595: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:32973/
[rosmaster.master][INFO] 2019-12-28 00:04:33,604: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36057/
[rosmaster.master][INFO] 2019-12-28 00:04:33,605: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36057/
[rosmaster.master][INFO] 2019-12-28 00:04:33,605: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,606: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:36057/
[rosmaster.master][INFO] 2019-12-28 00:04:33,607: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,608: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,610: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:04:33,612: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:04:33,613: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,614: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,614: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,615: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,617: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:04:33,618: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:04:33,618: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:04:33,619: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:04:33,619: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:04:33,620: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:04:33,621: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,621: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,622: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,623: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36183/
[rosmaster.master][INFO] 2019-12-28 00:04:33,624: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39509/
[rosmaster.master][INFO] 2019-12-28 00:04:33,625: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39509/
[rosmaster.master][INFO] 2019-12-28 00:04:33,626: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39509/
