[rosmaster.main][INFO] 2019-12-27 22:02:48,859: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 22:02:48,859: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 22:02:48,860: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 22:02:48,860: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 22:02:48,860: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 22:02:48,860: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 22:02:48,910: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:48,911: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35763] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:48,997: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:48,997: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:49,001: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39283/
[rosmaster.master][INFO] 2019-12-27 22:02:49,002: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39283/
[rosmaster.master][INFO] 2019-12-27 22:02:49,003: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39283/
[rosmaster.master][INFO] 2019-12-27 22:02:49,005: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39283/
[rosmaster.master][INFO] 2019-12-27 22:02:53,606: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41893] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,609: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,609: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,609: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,609: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,609: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,609: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,609: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,609: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,609: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,609: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,609: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,609: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 22:02:53,691: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-27 22:02:53,693: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-27 22:02:53,694: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-27 22:02:53,701: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40165/
[rosmaster.master][INFO] 2019-12-27 22:02:53,701: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40165/
[rosmaster.master][INFO] 2019-12-27 22:02:53,702: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40165/
[rosmaster.master][INFO] 2019-12-27 22:02:53,714: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39139/
