[rosmaster.main][INFO] 2019-12-31 08:57:52,561: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 08:57:52,561: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 08:57:52,562: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 08:57:52,562: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 08:57:52,562: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 08:57:52,562: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 08:57:52,626: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,629: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44807] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,727: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,727: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,727: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,727: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,727: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,727: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,727: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,727: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,727: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,727: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,728: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,728: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 08:57:52,729: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42873/
[rosmaster.master][INFO] 2019-12-31 08:57:52,730: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42873/
[rosmaster.master][INFO] 2019-12-31 08:57:52,731: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42873/
[rosmaster.master][INFO] 2019-12-31 08:57:52,734: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42873/
[rosmaster.master][INFO] 2019-12-31 08:57:52,751: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40019/
[rosmaster.master][INFO] 2019-12-31 08:57:52,752: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40019/
[rosmaster.master][INFO] 2019-12-31 08:57:52,753: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40019/
[rosmaster.master][INFO] 2019-12-31 08:57:52,760: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-31 08:57:52,761: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-31 08:57:52,761: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42873/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40019/']
[rosmaster.master][INFO] 2019-12-31 08:57:52,764: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42873/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40019/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 08:57:52,764: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-31 08:57:52,764: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42873/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40019/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/']
[rosmaster.master][INFO] 2019-12-31 08:57:52,766: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42873/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40019/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-31 08:57:52,771: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40313/
[rosmaster.master][INFO] 2019-12-31 08:57:52,772: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40313/
[rosmaster.master][INFO] 2019-12-31 08:57:52,773: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40313/
[rosmaster.master][INFO] 2019-12-31 08:57:52,777: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43981/
[rosmaster.master][INFO] 2019-12-31 08:57:52,778: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43981/
[rosmaster.master][INFO] 2019-12-31 08:57:52,779: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43981/
[rosmaster.master][INFO] 2019-12-31 08:57:52,792: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38195/
[rosmaster.master][INFO] 2019-12-31 08:57:52,793: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38195/
[rosmaster.master][INFO] 2019-12-31 08:57:52,794: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-31 08:57:52,795: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:38195/
[rosmaster.master][INFO] 2019-12-31 08:57:52,796: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-31 08:57:52,798: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-31 08:57:52,800: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 08:57:52,801: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 08:57:52,802: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40019/
[rosmaster.master][INFO] 2019-12-31 08:57:52,803: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40019/
[rosmaster.master][INFO] 2019-12-31 08:57:52,804: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40019/
[rosmaster.master][INFO] 2019-12-31 08:57:52,805: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-31 08:57:52,805: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40019/
[rosmaster.master][INFO] 2019-12-31 08:57:52,806: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-31 08:57:52,808: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-31 08:57:52,809: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39549/
[rosmaster.master][INFO] 2019-12-31 08:57:52,812: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 08:57:52,814: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 08:57:52,816: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 08:57:52,816: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 08:57:52,817: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 08:57:52,818: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 08:57:52,819: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-31 08:57:52,820: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
