[rosmaster.main][INFO] 2019-12-31 09:05:02,845: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 09:05:02,845: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 09:05:02,846: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 09:05:02,846: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 09:05:02,846: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 09:05:02,846: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 09:05:02,910: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:02,913: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36791] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:02,990: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:02,990: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:02,994: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34131/
[rosmaster.master][INFO] 2019-12-31 09:05:02,995: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34131/
[rosmaster.master][INFO] 2019-12-31 09:05:02,996: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34131/
[rosmaster.master][INFO] 2019-12-31 09:05:02,999: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34131/
[rosmaster.master][INFO] 2019-12-31 09:05:11,703: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43885] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,705: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,705: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,706: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,706: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,706: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,706: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,706: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,706: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,706: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,706: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,706: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,706: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 09:05:11,787: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38767/
[rosmaster.master][INFO] 2019-12-31 09:05:11,788: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38767/
[rosmaster.master][INFO] 2019-12-31 09:05:11,789: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38767/
