[rosmaster.main][INFO] 2020-02-05 00:44:13,419: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-05 00:44:13,419: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-05 00:44:13,420: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-05 00:44:13,420: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-05 00:44:13,420: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-05 00:44:13,420: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-05 00:44:13,472: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,474: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39671] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,573: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,573: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,573: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,573: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,574: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,574: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,574: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,574: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,574: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,574: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,574: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,574: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:44:13,576: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42939/
[rosmaster.master][INFO] 2020-02-05 00:44:13,576: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42939/
[rosmaster.master][INFO] 2020-02-05 00:44:13,577: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42939/
[rosmaster.master][INFO] 2020-02-05 00:44:13,581: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42939/
[rosmaster.master][INFO] 2020-02-05 00:44:13,597: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2020-02-05 00:44:13,598: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2020-02-05 00:44:13,599: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2020-02-05 00:44:13,605: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/
[rosmaster.master][INFO] 2020-02-05 00:44:13,606: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/
[rosmaster.master][INFO] 2020-02-05 00:44:13,607: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/
[rosmaster.master][INFO] 2020-02-05 00:44:13,616: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34379/
[rosmaster.master][INFO] 2020-02-05 00:44:13,617: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34379/
[rosmaster.master][INFO] 2020-02-05 00:44:13,618: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34379/
[rosmaster.master][INFO] 2020-02-05 00:44:13,619: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42939/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/']
[rosmaster.master][INFO] 2020-02-05 00:44:13,622: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42939/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 00:44:13,622: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42939/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/']
[rosmaster.master][INFO] 2020-02-05 00:44:13,622: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42939/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 00:44:13,623: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42939/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34379/']
[rosmaster.master][INFO] 2020-02-05 00:44:13,623: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:42939/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34379/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 00:44:13,634: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33063/
[rosmaster.master][INFO] 2020-02-05 00:44:13,635: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33063/
[rosmaster.master][INFO] 2020-02-05 00:44:13,636: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33063/
[rosmaster.master][INFO] 2020-02-05 00:44:13,642: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/
[rosmaster.master][INFO] 2020-02-05 00:44:13,643: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/
[rosmaster.master][INFO] 2020-02-05 00:44:13,644: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/
[rosmaster.master][INFO] 2020-02-05 00:44:13,645: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2020-02-05 00:44:13,646: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2020-02-05 00:44:13,646: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 00:44:13,647: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2020-02-05 00:44:13,648: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 00:44:13,649: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2020-02-05 00:44:13,651: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/
[rosmaster.master][INFO] 2020-02-05 00:44:13,653: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/
[rosmaster.master][INFO] 2020-02-05 00:44:13,654: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 00:44:13,655: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/
[rosmaster.master][INFO] 2020-02-05 00:44:13,656: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 00:44:13,657: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46211/
[rosmaster.master][INFO] 2020-02-05 00:44:13,658: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 00:44:13,659: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 00:44:13,660: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 00:44:13,662: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 00:44:13,663: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 00:44:13,664: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2020-02-05 00:44:13,665: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 00:44:13,665: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
[rosmaster.master][INFO] 2020-02-05 00:44:13,666: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 00:44:13,667: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46155/
