[rosmaster.main][INFO] 2019-12-31 18:59:11,190: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 18:59:11,190: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 18:59:11,191: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 18:59:11,191: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 18:59:11,191: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 18:59:11,191: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 18:59:11,234: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:11,239: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34661] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:11,319: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:11,319: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:11,324: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37847/
[rosmaster.master][INFO] 2019-12-31 18:59:11,325: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37847/
[rosmaster.master][INFO] 2019-12-31 18:59:11,326: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37847/
[rosmaster.master][INFO] 2019-12-31 18:59:11,329: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37847/
[rosmaster.master][INFO] 2019-12-31 18:59:13,931: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43723] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:13,934: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:13,934: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:13,934: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:13,934: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:13,934: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:13,934: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:13,934: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:13,934: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:13,934: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:13,934: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:13,935: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:13,935: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 18:59:14,024: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36385/
[rosmaster.master][INFO] 2019-12-31 18:59:14,026: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36385/
[rosmaster.master][INFO] 2019-12-31 18:59:14,027: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36385/
[rosmaster.master][INFO] 2019-12-31 18:59:14,031: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46485/
[rosmaster.master][INFO] 2019-12-31 18:59:14,031: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46485/
[rosmaster.master][INFO] 2019-12-31 18:59:14,032: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46485/
[rosmaster.master][INFO] 2019-12-31 18:59:14,045: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:32839/
[rosmaster.master][INFO] 2019-12-31 18:59:14,045: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:32839/
[rosmaster.master][INFO] 2019-12-31 18:59:14,046: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:32839/
[rosmaster.master][INFO] 2019-12-31 18:59:14,056: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46485/
[rosmaster.master][INFO] 2019-12-31 18:59:14,057: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46485/
[rosmaster.master][INFO] 2019-12-31 18:59:14,058: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46485/
[rosmaster.master][INFO] 2019-12-31 18:59:14,059: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44471/
[rosmaster.master][INFO] 2019-12-31 18:59:14,060: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 18:59:14,060: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44471/
[rosmaster.master][INFO] 2019-12-31 18:59:14,061: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 18:59:14,062: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:44471/
[rosmaster.master][INFO] 2019-12-31 18:59:14,063: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46485/
[rosmaster.master][INFO] 2019-12-31 18:59:14,065: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46485/
[rosmaster.master][INFO] 2019-12-31 18:59:14,066: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46485/
[rosmaster.master][INFO] 2019-12-31 18:59:14,066: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:46485/
[rosmaster.master][INFO] 2019-12-31 18:59:14,070: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 18:59:14,071: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-31 18:59:14,072: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36385/
