[rosmaster.main][INFO] 2019-12-27 02:00:19,236: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 02:00:19,236: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 02:00:19,237: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 02:00:19,237: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 02:00:19,237: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 02:00:19,237: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 02:00:19,299: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:19,300: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40101] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:19,362: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:19,362: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:19,366: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/
[rosmaster.master][INFO] 2019-12-27 02:00:19,367: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/
[rosmaster.master][INFO] 2019-12-27 02:00:19,368: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/
[rosmaster.master][INFO] 2019-12-27 02:00:19,371: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/
[rosmaster.master][INFO] 2019-12-27 02:00:36,581: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44129] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,583: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,584: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,584: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,584: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,584: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,584: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,584: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,584: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,584: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,584: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,584: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,584: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 02:00:36,664: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/
[rosmaster.master][INFO] 2019-12-27 02:00:36,665: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/
[rosmaster.master][INFO] 2019-12-27 02:00:36,666: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/
[rosmaster.master][INFO] 2019-12-27 02:00:36,670: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,671: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,672: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,679: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34517/
[rosmaster.master][INFO] 2019-12-27 02:00:36,680: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34517/
[rosmaster.master][INFO] 2019-12-27 02:00:36,681: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34517/
[rosmaster.master][INFO] 2019-12-27 02:00:36,694: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39913/
[rosmaster.master][INFO] 2019-12-27 02:00:36,695: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39913/
[rosmaster.master][INFO] 2019-12-27 02:00:36,696: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39913/
[rosmaster.master][INFO] 2019-12-27 02:00:36,698: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/']
[rosmaster.master][INFO] 2019-12-27 02:00:36,700: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 02:00:36,700: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/']
[rosmaster.master][INFO] 2019-12-27 02:00:36,700: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 02:00:36,700: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34517/']
[rosmaster.master][INFO] 2019-12-27 02:00:36,701: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34517/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 02:00:36,701: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34517/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39913/']
[rosmaster.master][INFO] 2019-12-27 02:00:36,701: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,702: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:32985/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34517/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39913/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 02:00:36,702: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,703: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,704: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 02:00:36,705: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 02:00:36,707: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,707: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,708: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,709: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,713: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 02:00:36,714: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 02:00:36,715: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 02:00:36,716: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 02:00:36,717: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 02:00:36,718: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/
[rosmaster.master][INFO] 2019-12-27 02:00:36,718: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 02:00:36,719: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/
[rosmaster.master][INFO] 2019-12-27 02:00:36,720: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,720: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/
[rosmaster.master][INFO] 2019-12-27 02:00:36,721: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,722: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38065/
[rosmaster.master][INFO] 2019-12-27 02:00:36,723: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,724: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43549/
[rosmaster.master][INFO] 2019-12-27 02:00:36,727: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 02:00:36,728: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34517/
