[rosmaster.main][INFO] 2020-02-05 00:22:52,911: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-05 00:22:52,911: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-05 00:22:52,911: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-05 00:22:52,912: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-05 00:22:52,912: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-05 00:22:52,912: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-05 00:22:52,969: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:52,971: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34729] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,068: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,068: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,068: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,068: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,068: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,068: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,068: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,068: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,068: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,068: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,068: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,069: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 00:22:53,070: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40133/
[rosmaster.master][INFO] 2020-02-05 00:22:53,071: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40133/
[rosmaster.master][INFO] 2020-02-05 00:22:53,072: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40133/
[rosmaster.master][INFO] 2020-02-05 00:22:53,075: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40133/
[rosmaster.master][INFO] 2020-02-05 00:22:53,090: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-02-05 00:22:53,091: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-02-05 00:22:53,092: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-02-05 00:22:53,102: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39561/
[rosmaster.master][INFO] 2020-02-05 00:22:53,102: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39561/
[rosmaster.master][INFO] 2020-02-05 00:22:53,103: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39561/
[rosmaster.master][INFO] 2020-02-05 00:22:53,109: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40055/
[rosmaster.master][INFO] 2020-02-05 00:22:53,109: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40055/
[rosmaster.master][INFO] 2020-02-05 00:22:53,110: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40055/
[rosmaster.master][INFO] 2020-02-05 00:22:53,111: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40133/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/']
[rosmaster.master][INFO] 2020-02-05 00:22:53,113: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40133/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 00:22:53,113: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40133/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39561/']
[rosmaster.master][INFO] 2020-02-05 00:22:53,114: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40133/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39561/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 00:22:53,115: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40133/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39561/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40055/']
[rosmaster.master][INFO] 2020-02-05 00:22:53,115: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40133/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39561/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40055/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 00:22:53,117: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33771/
[rosmaster.master][INFO] 2020-02-05 00:22:53,117: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33771/
[rosmaster.master][INFO] 2020-02-05 00:22:53,118: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:33771/
[rosmaster.master][INFO] 2020-02-05 00:22:53,126: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-02-05 00:22:53,127: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-02-05 00:22:53,127: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-02-05 00:22:53,128: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-02-05 00:22:53,130: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 00:22:53,131: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 00:22:53,131: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 00:22:53,132: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 00:22:53,132: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 00:22:53,133: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 00:22:53,134: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-02-05 00:22:53,135: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-02-05 00:22:53,135: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
[rosmaster.master][INFO] 2020-02-05 00:22:53,136: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34865/
