[rosmaster.main][INFO] 2020-02-28 19:15:16,272: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 19:15:16,272: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 19:15:16,273: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 19:15:16,273: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 19:15:16,273: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 19:15:16,273: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 19:15:16,332: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,334: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41901] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,436: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,436: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,436: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,436: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,436: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,436: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,437: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,437: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,437: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,437: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,437: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,437: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,437: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,437: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:15:16,438: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37133/
[rosmaster.master][INFO] 2020-02-28 19:15:16,439: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37133/
[rosmaster.master][INFO] 2020-02-28 19:15:16,440: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37133/
[rosmaster.master][INFO] 2020-02-28 19:15:16,442: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37133/
[rosmaster.master][INFO] 2020-02-28 19:15:16,468: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41951/
[rosmaster.master][INFO] 2020-02-28 19:15:16,468: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41951/
[rosmaster.master][INFO] 2020-02-28 19:15:16,469: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41951/
[rosmaster.master][INFO] 2020-02-28 19:15:16,472: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37133/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41951/']
[rosmaster.master][INFO] 2020-02-28 19:15:16,475: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37133/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41951/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 19:15:16,483: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34919/
[rosmaster.master][INFO] 2020-02-28 19:15:16,484: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34919/
[rosmaster.master][INFO] 2020-02-28 19:15:16,485: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:34919/
[rosmaster.master][INFO] 2020-02-28 19:15:16,488: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34819/
[rosmaster.master][INFO] 2020-02-28 19:15:16,489: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34819/
[rosmaster.master][INFO] 2020-02-28 19:15:16,490: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34819/
[rosmaster.master][INFO] 2020-02-28 19:15:16,508: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39333/
[rosmaster.master][INFO] 2020-02-28 19:15:16,509: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39333/
[rosmaster.master][INFO] 2020-02-28 19:15:16,510: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39333/
