[rosmaster.main][INFO] 2019-12-22 14:09:22,853: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 14:09:22,853: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 14:09:22,853: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-22 14:09:22,854: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-22 14:09:22,854: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 14:09:22,854: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 14:09:22,917: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:22,920: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33483] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:23,019: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:23,019: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:23,024: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46565/
[rosmaster.master][INFO] 2019-12-22 14:09:23,025: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46565/
[rosmaster.master][INFO] 2019-12-22 14:09:23,026: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46565/
[rosmaster.master][INFO] 2019-12-22 14:09:23,029: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46565/
[rosmaster.master][INFO] 2019-12-22 14:09:36,869: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46529] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,872: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,872: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,872: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,872: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,872: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,872: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,872: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,872: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,872: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,872: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,873: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,873: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:09:36,952: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32805/
[rosmaster.master][INFO] 2019-12-22 14:09:36,953: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32805/
[rosmaster.master][INFO] 2019-12-22 14:09:36,954: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:32805/
[rosmaster.master][INFO] 2019-12-22 14:09:36,957: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38095/
[rosmaster.master][INFO] 2019-12-22 14:09:36,958: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38095/
