[rosmaster.main][INFO] 2020-02-05 22:34:23,611: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-05 22:34:23,611: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-05 22:34:23,612: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-05 22:34:23,612: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-05 22:34:23,612: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-05 22:34:23,613: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-05 22:34:23,667: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,668: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33029] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,762: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,762: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,762: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,762: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,762: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,762: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,762: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,762: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,762: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,763: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,763: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,763: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,763: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,763: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:34:23,764: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34727/
[rosmaster.master][INFO] 2020-02-05 22:34:23,765: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34727/
[rosmaster.master][INFO] 2020-02-05 22:34:23,766: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34727/
[rosmaster.master][INFO] 2020-02-05 22:34:23,768: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34727/
[rosmaster.master][INFO] 2020-02-05 22:34:23,802: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39073/
[rosmaster.master][INFO] 2020-02-05 22:34:23,803: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39073/
[rosmaster.master][INFO] 2020-02-05 22:34:23,804: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39073/
