[rosmaster.main][INFO] 2019-12-31 21:36:54,841: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 21:36:54,841: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 21:36:54,842: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 21:36:54,842: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 21:36:54,842: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 21:36:54,843: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 21:36:54,888: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:36:54,890: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39627] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:36:54,974: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:36:54,975: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:36:54,979: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-31 21:36:54,980: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-31 21:36:54,981: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-31 21:36:54,984: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38385/
[rosmaster.master][INFO] 2019-12-31 21:37:02,741: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36355] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:37:02,743: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:37:02,743: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:37:02,743: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:37:02,743: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:37:02,743: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 21:37:02,744: +PARAM [/usb_cam/io_method] by /roslaunch
