[rosmaster.main][INFO] 2019-12-18 01:21:06,665: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-18 01:21:06,665: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-18 01:21:06,666: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-18 01:21:06,666: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-18 01:21:06,667: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-18 01:21:06,667: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-18 01:21:06,730: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:21:06,733: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44007] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:21:06,829: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:21:06,830: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:21:06,830: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:21:06,830: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:21:06,830: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:21:06,830: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:21:06,830: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:21:06,830: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:21:06,832: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43191/
[rosmaster.master][INFO] 2019-12-18 01:21:06,832: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43191/
[rosmaster.master][INFO] 2019-12-18 01:21:06,833: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43191/
[rosmaster.master][INFO] 2019-12-18 01:21:06,836: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43191/
[rosmaster.master][INFO] 2019-12-18 01:21:06,850: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,851: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,851: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,860: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45773/
[rosmaster.master][INFO] 2019-12-18 01:21:06,861: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45773/
[rosmaster.master][INFO] 2019-12-18 01:21:06,862: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45773/
[rosmaster.master][INFO] 2019-12-18 01:21:06,866: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43191/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/']
[rosmaster.master][INFO] 2019-12-18 01:21:06,867: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43191/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 01:21:06,867: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43191/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45773/']
[rosmaster.master][INFO] 2019-12-18 01:21:06,868: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43191/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45773/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-18 01:21:06,881: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,882: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,882: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,883: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,885: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,886: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,886: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,887: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,887: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,888: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,889: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,890: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,890: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,891: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,893: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,894: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,895: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,895: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,896: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,896: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,898: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,899: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,900: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,900: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,901: +PUB [/usb_cam/image_raw/theora/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,903: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,904: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,904: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,905: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,905: +PARAM [/usb_cam/image_raw/theora/optimize_for] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,906: +PARAM [/usb_cam/image_raw/theora/target_bitrate] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,906: +PARAM [/usb_cam/image_raw/theora/quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,907: +PARAM [/usb_cam/image_raw/theora/keyframe_frequency] by /usb_cam
[rosmaster.master][INFO] 2019-12-18 01:21:06,907: +PUB [/usb_cam/camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,917: +SERVICE [/usb_cam/set_camera_info] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,918: +SERVICE [/usb_cam/start_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:06,918: +SERVICE [/usb_cam/stop_capture] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37677/
[rosmaster.master][INFO] 2019-12-18 01:21:07,003: +SUB [/usb_cam/image_raw] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45773/
[rosmaster.master][INFO] 2019-12-18 01:21:07,004: +PUB [/usb_cam_display/image_view/output] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45773/
[rosmaster.master][INFO] 2019-12-18 01:21:07,004: +SERVICE [/usb_cam_display/image_view/set_parameters] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45773/
[rosmaster.master][INFO] 2019-12-18 01:21:07,005: +PUB [/usb_cam_display/image_view/parameter_descriptions] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45773/
[rosmaster.master][INFO] 2019-12-18 01:21:07,005: +PUB [/usb_cam_display/image_view/parameter_updates] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45773/
[rosmaster.master][INFO] 2019-12-18 01:21:07,008: +PARAM [/usb_cam_display/image_view/do_dynamic_scaling] by /usb_cam_display/image_view
[rosmaster.master][INFO] 2019-12-18 01:21:07,008: +PARAM [/usb_cam_display/image_view/colormap] by /usb_cam_display/image_view
