[rosmaster.main][INFO] 2019-12-26 16:49:26,157: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-26 16:49:26,157: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-26 16:49:26,158: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-26 16:49:26,158: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-26 16:49:26,158: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-26 16:49:26,158: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-26 16:49:26,226: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:26,229: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40293] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:26,305: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:26,305: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:26,310: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44925/
[rosmaster.master][INFO] 2019-12-26 16:49:26,310: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44925/
[rosmaster.master][INFO] 2019-12-26 16:49:26,312: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44925/
[rosmaster.master][INFO] 2019-12-26 16:49:26,315: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44925/
[rosmaster.master][INFO] 2019-12-26 16:49:35,179: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42273] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,182: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,182: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,182: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,182: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,182: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,182: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,182: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,182: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,183: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,183: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,183: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,183: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-26 16:49:35,271: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33583/
[rosmaster.master][INFO] 2019-12-26 16:49:35,272: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33583/
[rosmaster.master][INFO] 2019-12-26 16:49:35,272: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33583/
[rosmaster.master][INFO] 2019-12-26 16:49:35,287: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44925/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33583/']
[rosmaster.master][INFO] 2019-12-26 16:49:35,288: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38777/
[rosmaster.master][INFO] 2019-12-26 16:49:35,290: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44925/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33583/']: sec=0.00, result=[1, '', 0]
