[rosmaster.main][INFO] 2019-12-20 01:54:40,051: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-20 01:54:40,051: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-20 01:54:40,052: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-20 01:54:40,052: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-20 01:54:40,052: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-20 01:54:40,052: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-20 01:54:40,115: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:54:40,119: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39785] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:54:40,213: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:54:40,213: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:54:40,213: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:54:40,213: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:54:40,213: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:54:40,213: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:54:40,213: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:54:40,213: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 01:54:40,216: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33219/
