[rosmaster.main][INFO] 2020-01-30 16:50:56,979: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 16:50:56,979: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 16:50:56,979: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 16:50:56,980: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 16:50:56,980: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 16:50:56,980: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 16:50:57,037: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,039: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46269] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,136: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,136: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,136: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,136: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,136: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,136: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,136: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,136: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,137: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,137: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,137: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,137: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 16:50:57,138: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43411/
[rosmaster.master][INFO] 2020-01-30 16:50:57,138: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43411/
[rosmaster.master][INFO] 2020-01-30 16:50:57,140: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43411/
[rosmaster.master][INFO] 2020-01-30 16:50:57,143: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43411/
[rosmaster.master][INFO] 2020-01-30 16:50:57,159: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46273/
[rosmaster.master][INFO] 2020-01-30 16:50:57,160: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46273/
[rosmaster.master][INFO] 2020-01-30 16:50:57,161: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46273/
[rosmaster.master][INFO] 2020-01-30 16:50:57,171: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33639/
[rosmaster.master][INFO] 2020-01-30 16:50:57,172: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33639/
[rosmaster.master][INFO] 2020-01-30 16:50:57,172: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33639/
[rosmaster.master][INFO] 2020-01-30 16:50:57,179: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43411/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46273/']
[rosmaster.master][INFO] 2020-01-30 16:50:57,181: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35865/
[rosmaster.master][INFO] 2020-01-30 16:50:57,181: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43411/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46273/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 16:50:57,182: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35865/
[rosmaster.master][INFO] 2020-01-30 16:50:57,182: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43411/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46273/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33639/']
[rosmaster.master][INFO] 2020-01-30 16:50:57,183: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43411/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46273/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33639/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 16:50:57,183: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43411/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46273/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33639/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35865/']
[rosmaster.master][INFO] 2020-01-30 16:50:57,184: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:35865/
