[rosmaster.main][INFO] 2020-01-30 23:03:11,188: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 23:03:11,188: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 23:03:11,189: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 23:03:11,189: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 23:03:11,189: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 23:03:11,189: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 23:03:11,243: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,245: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41157] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,319: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,320: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,320: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,320: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,320: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,320: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,320: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,320: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,320: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,320: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,320: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,320: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:03:11,322: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45367/
[rosmaster.master][INFO] 2020-01-30 23:03:11,323: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45367/
[rosmaster.master][INFO] 2020-01-30 23:03:11,325: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45367/
[rosmaster.master][INFO] 2020-01-30 23:03:11,328: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45367/
[rosmaster.master][INFO] 2020-01-30 23:03:11,344: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/
[rosmaster.master][INFO] 2020-01-30 23:03:11,345: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/
[rosmaster.master][INFO] 2020-01-30 23:03:11,346: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/
[rosmaster.master][INFO] 2020-01-30 23:03:11,351: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:32833/
[rosmaster.master][INFO] 2020-01-30 23:03:11,352: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:32833/
[rosmaster.master][INFO] 2020-01-30 23:03:11,352: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:32833/
[rosmaster.master][INFO] 2020-01-30 23:03:11,365: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/
[rosmaster.master][INFO] 2020-01-30 23:03:11,366: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/
[rosmaster.master][INFO] 2020-01-30 23:03:11,366: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/
[rosmaster.master][INFO] 2020-01-30 23:03:11,374: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37611/
[rosmaster.master][INFO] 2020-01-30 23:03:11,375: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37611/
[rosmaster.master][INFO] 2020-01-30 23:03:11,376: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37611/
[rosmaster.master][INFO] 2020-01-30 23:03:11,384: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:32833/
[rosmaster.master][INFO] 2020-01-30 23:03:11,385: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/
[rosmaster.master][INFO] 2020-01-30 23:03:11,385: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:32833/
[rosmaster.master][INFO] 2020-01-30 23:03:11,386: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/
[rosmaster.master][INFO] 2020-01-30 23:03:11,387: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:32833/
[rosmaster.master][INFO] 2020-01-30 23:03:11,388: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/
[rosmaster.master][INFO] 2020-01-30 23:03:11,389: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45367/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/']
[rosmaster.master][INFO] 2020-01-30 23:03:11,390: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/
[rosmaster.master][INFO] 2020-01-30 23:03:11,391: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45367/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 23:03:11,391: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45367/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:32833/']
[rosmaster.master][INFO] 2020-01-30 23:03:11,392: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-01-30 23:03:11,392: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45367/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:32833/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 23:03:11,393: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45367/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:32833/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/']
[rosmaster.master][INFO] 2020-01-30 23:03:11,394: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45367/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:32833/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-01-30 23:03:11,394: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45367/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39735/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:32833/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:38951/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:37611/']
[rosmaster.master][INFO] 2020-01-30 23:03:11,394: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
