[rosmaster.main][INFO] 2019-12-30 04:49:02,350: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-30 04:49:02,350: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-30 04:49:02,351: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-30 04:49:02,351: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-30 04:49:02,351: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-30 04:49:02,352: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-30 04:49:02,376: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:49:02,377: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38969] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:49:02,526: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:49:02,527: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:49:02,844: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46059/
[rosmaster.master][INFO] 2019-12-30 04:49:02,845: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46059/
[rosmaster.master][INFO] 2019-12-30 04:49:02,847: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46059/
[rosmaster.master][INFO] 2019-12-30 04:49:02,851: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46059/
[rosmaster.master][INFO] 2019-12-30 04:50:00,574: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43345] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:00,585: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:00,586: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:00,586: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:00,587: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:00,587: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:00,587: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:00,588: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:00,588: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:00,588: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:00,588: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:00,589: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:00,589: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-30 04:50:03,263: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40877/
[rosmaster.master][INFO] 2019-12-30 04:50:03,264: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
[rosmaster.master][INFO] 2019-12-30 04:50:03,265: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33525/
[rosmaster.master][INFO] 2019-12-30 04:50:03,265: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40877/
[rosmaster.master][INFO] 2019-12-30 04:50:03,266: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
[rosmaster.master][INFO] 2019-12-30 04:50:03,267: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33525/
[rosmaster.master][INFO] 2019-12-30 04:50:03,267: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40877/
[rosmaster.master][INFO] 2019-12-30 04:50:03,268: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:38131/
