[rosmaster.main][INFO] 2020-02-26 21:33:55,818: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 21:33:55,819: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 21:33:55,819: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 21:33:55,820: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 21:33:55,820: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 21:33:55,820: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 21:33:55,853: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,855: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41045] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,946: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,947: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,947: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,947: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,947: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,947: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,947: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,947: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,948: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,948: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,948: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,948: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,948: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,948: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:33:55,949: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34793/
[rosmaster.master][INFO] 2020-02-26 21:33:55,950: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34793/
[rosmaster.master][INFO] 2020-02-26 21:33:55,951: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34793/
[rosmaster.master][INFO] 2020-02-26 21:33:55,956: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34793/
[rosmaster.master][INFO] 2020-02-26 21:33:55,993: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34029/
[rosmaster.master][INFO] 2020-02-26 21:33:55,994: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34029/
[rosmaster.master][INFO] 2020-02-26 21:33:55,995: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34029/
[rosmaster.master][INFO] 2020-02-26 21:33:56,004: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39693/
[rosmaster.master][INFO] 2020-02-26 21:33:56,005: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39693/
[rosmaster.master][INFO] 2020-02-26 21:33:56,006: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39693/
[rosmaster.master][INFO] 2020-02-26 21:33:56,009: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33247/
[rosmaster.master][INFO] 2020-02-26 21:33:56,010: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33247/
[rosmaster.master][INFO] 2020-02-26 21:33:56,011: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:33247/
[rosmaster.master][INFO] 2020-02-26 21:33:56,020: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34793/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34029/']
[rosmaster.master][INFO] 2020-02-26 21:33:56,022: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34793/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34029/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 21:33:56,022: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34793/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34029/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39693/']
[rosmaster.master][INFO] 2020-02-26 21:33:56,023: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34793/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34029/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39693/']: sec=0.00, result=[1, '', 0]
