[rosmaster.main][INFO] 2019-11-14 19:41:03,348: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-14 19:41:03,348: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-14 19:41:03,349: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-11-14 19:41:03,349: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-11-14 19:41:03,349: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-14 19:41:03,349: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-11-14 19:41:03,411: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:03,415: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37963] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:03,444: +PUB [/rosout] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:03,449: +SERVICE [/drone_control/get_loggers] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:03,451: +SERVICE [/drone_control/set_logger_level] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:03,452: +PUB [/drone_command] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:03,453: +PUB [/alt_error] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:03,455: +PUB [/pitch_error] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:03,456: +PUB [/roll_error] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:03,458: +SUB [/whycon/poses] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:03,460: +SUB [/pid_tuning_altitude] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:03,462: +SUB [/pid_tuning_pitch] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:03,464: +SUB [/pid_tuning_roll] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:03,510: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:03,510: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:03,514: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43383/
[rosmaster.master][INFO] 2019-11-14 19:41:03,514: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43383/
[rosmaster.master][INFO] 2019-11-14 19:41:03,515: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43383/
[rosmaster.master][INFO] 2019-11-14 19:41:03,518: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43383/
[rosmaster.master][INFO] 2019-11-14 19:41:05,209: -SUB [/pid_tuning_pitch] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:05,210: -SUB [/pid_tuning_roll] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:05,210: -SUB [/whycon/poses] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:05,210: -SUB [/pid_tuning_altitude] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:05,210: -PUB [/pitch_error] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:05,210: -PUB [/roll_error] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:05,211: -PUB [/rosout] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:05,211: -PUB [/alt_error] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:05,211: -PUB [/drone_command] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:36007/
[rosmaster.master][INFO] 2019-11-14 19:41:05,211: -SERVICE [/drone_control/get_loggers] /drone_control rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:44439
[rosmaster.master][INFO] 2019-11-14 19:41:05,211: -SERVICE [/drone_control/set_logger_level] /drone_control rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:44439
[rosmaster.master][INFO] 2019-11-14 19:41:05,255: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43383/ []
[rosmaster.master][INFO] 2019-11-14 19:41:05,260: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43383/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-14 19:41:06,994: +PUB [/rosout] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/
[rosmaster.master][INFO] 2019-11-14 19:41:07,003: +SERVICE [/drone_control/get_loggers] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/
[rosmaster.master][INFO] 2019-11-14 19:41:07,006: +SERVICE [/drone_control/set_logger_level] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/
[rosmaster.master][INFO] 2019-11-14 19:41:07,010: +PUB [/drone_command] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/
[rosmaster.master][INFO] 2019-11-14 19:41:07,014: +PUB [/alt_error] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/
[rosmaster.master][INFO] 2019-11-14 19:41:07,017: +PUB [/pitch_error] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/
[rosmaster.master][INFO] 2019-11-14 19:41:07,021: +PUB [/roll_error] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/
[rosmaster.master][INFO] 2019-11-14 19:41:07,026: +SUB [/whycon/poses] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/
[rosmaster.master][INFO] 2019-11-14 19:41:07,032: +SUB [/pid_tuning_altitude] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/
[rosmaster.master][INFO] 2019-11-14 19:41:07,038: +SUB [/pid_tuning_pitch] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/
[rosmaster.master][INFO] 2019-11-14 19:41:07,044: +SUB [/pid_tuning_roll] /drone_control http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/
[rosmaster.master][INFO] 2019-11-14 19:41:07,061: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43383/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/']
[rosmaster.master][INFO] 2019-11-14 19:41:07,063: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43383/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:46091/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-11-14 19:41:14,741: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46239] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,748: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,748: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/angular_rate_gain/z] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,748: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/angular_rate_gain/x] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,748: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/angular_rate_gain/y] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,748: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/inertia/yy] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,748: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/2/arm_length] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,748: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/attitude_gain/y] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,748: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/attitude_gain/x] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,749: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/1/rotor_force_constant] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,749: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/attitude_gain/z] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,749: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/3/rotor_force_constant] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,749: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/1/arm_length] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,749: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/1/angle] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,749: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/3/rotor_moment_constant] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,749: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/inertia/yz] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,749: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/3/angle] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,749: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/0/angle] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,749: +PARAM [/edrone/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,749: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/0/direction] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,749: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/1/direction] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,750: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/2/rotor_moment_constant] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,750: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,750: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/3/arm_length] by /roslaunch
[rosmaster.master][INFO] 2019-11-14 19:41:14,750: +PARAM [/edrone/roll_pitch_yawrate_thrust_controller_node/rotor_configuration/0/rotor_force_constant] by /roslaunch
