[rosmaster.main][INFO] 2019-12-15 00:20:26,596: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-15 00:20:26,596: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-15 00:20:26,597: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-15 00:20:26,597: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-15 00:20:26,597: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-15 00:20:26,598: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-15 00:20:26,660: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:20:26,664: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46497] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:20:26,743: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:20:26,743: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:20:26,743: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:20:26,743: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:20:26,743: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:20:26,743: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:20:26,743: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:20:26,743: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-15 00:20:26,746: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44949/
[rosmaster.master][INFO] 2019-12-15 00:20:26,746: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44949/
[rosmaster.master][INFO] 2019-12-15 00:20:26,747: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44949/
[rosmaster.master][INFO] 2019-12-15 00:20:26,751: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44949/
[rosmaster.master][INFO] 2019-12-15 00:20:26,769: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43283/
[rosmaster.master][INFO] 2019-12-15 00:20:26,770: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43283/
[rosmaster.master][INFO] 2019-12-15 00:20:26,771: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43283/
[rosmaster.master][INFO] 2019-12-15 00:20:26,797: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44949/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43283/']
