[rosmaster.main][INFO] 2019-12-29 03:52:55,169: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 03:52:55,169: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 03:52:55,170: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 03:52:55,170: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 03:52:55,170: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 03:52:55,170: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 03:52:55,229: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:55,230: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41225] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:55,313: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:55,313: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:55,318: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37485/
[rosmaster.master][INFO] 2019-12-29 03:52:55,319: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37485/
[rosmaster.master][INFO] 2019-12-29 03:52:55,320: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37485/
[rosmaster.master][INFO] 2019-12-29 03:52:55,323: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37485/
[rosmaster.master][INFO] 2019-12-29 03:52:57,899: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35449] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,901: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,901: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,901: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,902: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,902: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,902: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,902: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,902: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,902: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,902: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,902: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,902: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:52:57,984: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39469/
[rosmaster.master][INFO] 2019-12-29 03:52:57,985: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39469/
[rosmaster.master][INFO] 2019-12-29 03:52:57,986: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39469/
[rosmaster.master][INFO] 2019-12-29 03:52:57,992: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:57,992: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:57,993: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:58,001: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42445/
[rosmaster.master][INFO] 2019-12-29 03:52:58,002: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42445/
[rosmaster.master][INFO] 2019-12-29 03:52:58,003: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42445/
[rosmaster.master][INFO] 2019-12-29 03:52:58,013: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39599/
[rosmaster.master][INFO] 2019-12-29 03:52:58,014: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39599/
[rosmaster.master][INFO] 2019-12-29 03:52:58,015: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39599/
[rosmaster.master][INFO] 2019-12-29 03:52:58,023: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:58,024: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:58,025: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:58,026: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,027: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,029: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:58,030: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:58,031: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39469/
[rosmaster.master][INFO] 2019-12-29 03:52:58,032: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:58,033: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39469/
[rosmaster.master][INFO] 2019-12-29 03:52:58,034: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:58,035: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39469/
[rosmaster.master][INFO] 2019-12-29 03:52:58,036: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39469/
[rosmaster.master][INFO] 2019-12-29 03:52:58,039: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,040: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,041: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:52:58,042: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,043: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:52:58,044: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,045: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:52:58,046: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,046: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:52:58,047: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,048: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:52:58,049: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:58,049: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:52:58,050: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:58,051: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42445/
[rosmaster.master][INFO] 2019-12-29 03:52:58,052: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39469/
[rosmaster.master][INFO] 2019-12-29 03:52:58,053: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:58,054: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39469/
[rosmaster.master][INFO] 2019-12-29 03:52:58,054: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38575/
[rosmaster.master][INFO] 2019-12-29 03:52:58,055: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39469/
[rosmaster.master][INFO] 2019-12-29 03:52:58,056: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39469/
[rosmaster.master][INFO] 2019-12-29 03:52:58,060: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,062: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,062: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:52:58,063: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,064: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:52:58,065: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42445/
[rosmaster.master][INFO] 2019-12-29 03:52:58,065: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,066: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:52:58,067: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,067: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2019-12-29 03:52:58,069: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 03:52:58,069: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
