[rosmaster.main][INFO] 2020-01-30 23:39:02,565: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-01-30 23:39:02,565: Starting ROS Master Node
[xmlrpc][INFO] 2020-01-30 23:39:02,566: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-01-30 23:39:02,566: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-01-30 23:39:02,566: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-01-30 23:39:02,566: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-01-30 23:39:02,622: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,626: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37411] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,731: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,731: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,731: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,731: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,731: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,731: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,731: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,732: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,732: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,732: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,732: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,732: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-01-30 23:39:02,734: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39617/
[rosmaster.master][INFO] 2020-01-30 23:39:02,734: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39617/
[rosmaster.master][INFO] 2020-01-30 23:39:02,735: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39617/
[rosmaster.master][INFO] 2020-01-30 23:39:02,739: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:39617/
[rosmaster.master][INFO] 2020-01-30 23:39:02,756: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36235/
[rosmaster.master][INFO] 2020-01-30 23:39:02,757: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36235/
[rosmaster.master][INFO] 2020-01-30 23:39:02,758: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36235/
[rosmaster.master][INFO] 2020-01-30 23:39:02,765: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:39617/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36235/']
