[rosmaster.main][INFO] 2020-02-26 21:55:27,434: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 21:55:27,434: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 21:55:27,435: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 21:55:27,435: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 21:55:27,435: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 21:55:27,435: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 21:55:27,494: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,497: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34563] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,596: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,596: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,596: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,596: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,597: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,597: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,597: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,597: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,597: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,597: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,598: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,598: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,598: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,598: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:55:27,598: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33401/
[rosmaster.master][INFO] 2020-02-26 21:55:27,599: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33401/
[rosmaster.master][INFO] 2020-02-26 21:55:27,600: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33401/
[rosmaster.master][INFO] 2020-02-26 21:55:27,603: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33401/
[rosmaster.master][INFO] 2020-02-26 21:55:27,628: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33057/
[rosmaster.master][INFO] 2020-02-26 21:55:27,629: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33057/
[rosmaster.master][INFO] 2020-02-26 21:55:27,630: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33057/
[rosmaster.master][INFO] 2020-02-26 21:55:27,635: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33401/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33057/']
[rosmaster.master][INFO] 2020-02-26 21:55:27,637: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33401/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33057/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-26 21:55:27,638: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38427/
[rosmaster.master][INFO] 2020-02-26 21:55:27,639: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38427/
[rosmaster.master][INFO] 2020-02-26 21:55:27,639: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38427/
[rosmaster.master][INFO] 2020-02-26 21:55:27,652: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43675/
[rosmaster.master][INFO] 2020-02-26 21:55:27,653: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43675/
[rosmaster.master][INFO] 2020-02-26 21:55:27,655: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43675/
[rosmaster.master][INFO] 2020-02-26 21:55:27,659: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39587/
[rosmaster.master][INFO] 2020-02-26 21:55:27,660: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39587/
[rosmaster.master][INFO] 2020-02-26 21:55:27,661: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39587/
[rosmaster.master][INFO] 2020-02-26 21:55:27,671: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33057/
[rosmaster.master][INFO] 2020-02-26 21:55:27,673: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33057/
[rosmaster.master][INFO] 2020-02-26 21:55:27,673: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33057/
[rosmaster.master][INFO] 2020-02-26 21:55:27,674: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38427/
[rosmaster.master][INFO] 2020-02-26 21:55:27,675: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33057/
[rosmaster.master][INFO] 2020-02-26 21:55:27,676: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38427/
[rosmaster.master][INFO] 2020-02-26 21:55:27,677: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38427/
[rosmaster.master][INFO] 2020-02-26 21:55:27,682: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-26 21:55:27,683: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 21:55:27,683: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-26 21:55:27,684: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 21:55:27,685: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 21:55:27,686: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 21:55:27,686: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38427/
[rosmaster.master][INFO] 2020-02-26 21:55:27,687: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 21:55:27,687: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38427/
[rosmaster.master][INFO] 2020-02-26 21:55:27,688: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-26 21:55:27,688: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:38427/
