[rosmaster.main][INFO] 2020-02-28 18:46:58,709: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 18:46:58,709: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 18:46:58,710: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 18:46:58,710: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 18:46:58,710: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 18:46:58,710: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 18:46:58,763: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,765: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43721] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,840: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,841: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 18:46:58,843: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/
[rosmaster.master][INFO] 2020-02-28 18:46:58,844: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/
[rosmaster.master][INFO] 2020-02-28 18:46:58,845: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/
[rosmaster.master][INFO] 2020-02-28 18:46:58,848: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/
[rosmaster.master][INFO] 2020-02-28 18:46:58,871: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36027/
[rosmaster.master][INFO] 2020-02-28 18:46:58,872: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36027/
[rosmaster.master][INFO] 2020-02-28 18:46:58,873: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36027/
[rosmaster.master][INFO] 2020-02-28 18:46:58,886: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42585/
[rosmaster.master][INFO] 2020-02-28 18:46:58,887: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42585/
[rosmaster.master][INFO] 2020-02-28 18:46:58,887: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42585/
[rosmaster.master][INFO] 2020-02-28 18:46:58,890: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45639/
[rosmaster.master][INFO] 2020-02-28 18:46:58,891: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45639/
[rosmaster.master][INFO] 2020-02-28 18:46:58,891: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45639/
[rosmaster.master][INFO] 2020-02-28 18:46:58,908: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39343/
[rosmaster.master][INFO] 2020-02-28 18:46:58,909: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39343/
[rosmaster.master][INFO] 2020-02-28 18:46:58,910: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36027/']
[rosmaster.master][INFO] 2020-02-28 18:46:58,910: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39343/
[rosmaster.master][INFO] 2020-02-28 18:46:58,912: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36027/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 18:46:58,912: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36027/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42585/']
[rosmaster.master][INFO] 2020-02-28 18:46:58,913: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36027/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42585/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 18:46:58,914: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36027/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42585/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45639/']
[rosmaster.master][INFO] 2020-02-28 18:46:58,915: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36027/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42585/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45639/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 18:46:58,915: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36403/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36027/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42585/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45639/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39343/']
