[rosmaster.main][INFO] 2020-02-27 00:11:30,053: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 00:11:30,053: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 00:11:30,054: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 00:11:30,054: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 00:11:30,054: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 00:11:30,054: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 00:11:30,105: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,107: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43765] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,207: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,207: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,207: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,207: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,208: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,208: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,208: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,208: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,208: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,208: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,208: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,208: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,209: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,209: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 00:11:30,210: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34497/
[rosmaster.master][INFO] 2020-02-27 00:11:30,210: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34497/
[rosmaster.master][INFO] 2020-02-27 00:11:30,212: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34497/
[rosmaster.master][INFO] 2020-02-27 00:11:30,215: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34497/
[rosmaster.master][INFO] 2020-02-27 00:11:30,241: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34731/
[rosmaster.master][INFO] 2020-02-27 00:11:30,242: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34731/
[rosmaster.master][INFO] 2020-02-27 00:11:30,243: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34731/
[rosmaster.master][INFO] 2020-02-27 00:11:30,252: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42061/
[rosmaster.master][INFO] 2020-02-27 00:11:30,253: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42061/
[rosmaster.master][INFO] 2020-02-27 00:11:30,253: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34497/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34731/']
[rosmaster.master][INFO] 2020-02-27 00:11:30,255: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42061/
[rosmaster.master][INFO] 2020-02-27 00:11:30,255: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34497/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34731/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 00:11:30,256: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34497/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34731/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42061/']
[rosmaster.master][INFO] 2020-02-27 00:11:30,257: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34497/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:34731/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42061/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 00:11:30,271: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42093/
[rosmaster.master][INFO] 2020-02-27 00:11:30,272: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42093/
[rosmaster.master][INFO] 2020-02-27 00:11:30,273: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42093/
[rosmaster.master][INFO] 2020-02-27 00:11:30,275: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41827/
[rosmaster.master][INFO] 2020-02-27 00:11:30,276: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41827/
[rosmaster.master][INFO] 2020-02-27 00:11:30,277: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41827/
[rosmaster.master][INFO] 2020-02-27 00:11:30,293: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34731/
[rosmaster.master][INFO] 2020-02-27 00:11:30,294: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34731/
[rosmaster.master][INFO] 2020-02-27 00:11:30,295: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:34731/
