[rosmaster.main][INFO] 2019-12-29 02:55:47,530: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 02:55:47,530: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 02:55:47,531: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 02:55:47,532: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 02:55:47,532: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 02:55:47,532: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 02:55:47,588: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:55:47,590: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43997] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:55:47,681: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:55:47,681: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:55:47,687: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45559/
[rosmaster.master][INFO] 2019-12-29 02:55:47,688: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45559/
[rosmaster.master][INFO] 2019-12-29 02:55:47,689: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45559/
[rosmaster.master][INFO] 2019-12-29 02:55:47,692: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45559/
[rosmaster.master][INFO] 2019-12-29 02:55:49,958: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35929] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:55:49,961: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:55:49,961: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:55:49,961: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:55:49,961: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:55:49,961: +PARAM [/usb_cam/pixel_format] by /roslaunch
