[rosmaster.main][INFO] 2020-02-28 19:30:04,849: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 19:30:04,849: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 19:30:04,850: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 19:30:04,850: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 19:30:04,850: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 19:30:04,850: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 19:30:04,898: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,899: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33797] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,985: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,985: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,985: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,985: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,985: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,985: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,986: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,986: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,986: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,986: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,986: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,986: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,987: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,987: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:04,987: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46361/
[rosmaster.master][INFO] 2020-02-28 19:30:04,988: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46361/
[rosmaster.master][INFO] 2020-02-28 19:30:04,989: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46361/
[rosmaster.master][INFO] 2020-02-28 19:30:04,991: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46361/
[rosmaster.master][INFO] 2020-02-28 19:30:05,018: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36947/
[rosmaster.master][INFO] 2020-02-28 19:30:05,019: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36947/
[rosmaster.master][INFO] 2020-02-28 19:30:05,020: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36947/
