[rosmaster.main][INFO] 2020-02-26 21:41:18,542: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-26 21:41:18,543: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-26 21:41:18,543: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-26 21:41:18,544: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-26 21:41:18,544: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-26 21:41:18,544: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-26 21:41:18,606: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,610: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45899] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,716: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,716: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,717: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,717: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,717: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,717: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,717: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,717: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,717: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,717: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,717: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,717: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,717: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,718: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-26 21:41:18,719: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33139/
[rosmaster.master][INFO] 2020-02-26 21:41:18,719: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33139/
[rosmaster.master][INFO] 2020-02-26 21:41:18,720: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33139/
[rosmaster.master][INFO] 2020-02-26 21:41:18,723: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33139/
[rosmaster.master][INFO] 2020-02-26 21:41:18,748: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44533/
[rosmaster.master][INFO] 2020-02-26 21:41:18,749: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44533/
[rosmaster.master][INFO] 2020-02-26 21:41:18,750: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:44533/
[rosmaster.master][INFO] 2020-02-26 21:41:18,758: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40727/
