[rosmaster.main][INFO] 2019-12-18 01:28:41,441: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-18 01:28:41,441: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-18 01:28:41,442: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-18 01:28:41,442: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-18 01:28:41,442: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-18 01:28:41,442: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-18 01:28:41,468: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:28:41,469: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45861] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:28:41,551: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:28:41,551: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:28:41,551: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:28:41,551: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:28:41,551: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:28:41,551: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:28:41,551: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:28:41,551: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-18 01:28:41,555: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43117/
[rosmaster.master][INFO] 2019-12-18 01:28:41,555: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43117/
[rosmaster.master][INFO] 2019-12-18 01:28:41,558: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43117/
[rosmaster.master][INFO] 2019-12-18 01:28:41,563: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43117/
[rosmaster.master][INFO] 2019-12-18 01:28:41,581: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40513/
[rosmaster.master][INFO] 2019-12-18 01:28:41,582: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40513/
[rosmaster.master][INFO] 2019-12-18 01:28:41,583: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40513/
[rosmaster.master][INFO] 2019-12-18 01:28:41,594: +PUB [/rosout] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45205/
[rosmaster.master][INFO] 2019-12-18 01:28:41,594: +SERVICE [/usb_cam_display/image_view/get_loggers] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45205/
[rosmaster.master][INFO] 2019-12-18 01:28:41,595: +SERVICE [/usb_cam_display/image_view/set_logger_level] /usb_cam_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45205/
[rosmaster.master][INFO] 2019-12-18 01:28:41,623: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40513/
[rosmaster.master][INFO] 2019-12-18 01:28:41,624: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40513/
[rosmaster.master][INFO] 2019-12-18 01:28:41,625: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40513/
[rosmaster.master][INFO] 2019-12-18 01:28:41,625: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40513/
