[rosmaster.main][INFO] 2020-02-29 00:02:15,090: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-29 00:02:15,090: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-29 00:02:15,091: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-29 00:02:15,091: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-29 00:02:15,091: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-29 00:02:15,091: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-29 00:02:15,153: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,153: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33393] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,220: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,220: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,220: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,220: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,220: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,220: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,220: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,220: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,220: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,220: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,221: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,221: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,221: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,221: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:15,222: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36239/
[rosmaster.master][INFO] 2020-02-29 00:02:15,222: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36239/
[rosmaster.master][INFO] 2020-02-29 00:02:15,223: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36239/
