[rosmaster.main][INFO] 2019-12-29 03:39:01,921: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 03:39:01,921: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 03:39:01,922: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 03:39:01,922: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 03:39:01,922: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 03:39:01,922: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 03:39:01,970: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:01,971: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35479] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:02,051: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:02,051: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:02,056: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34177/
[rosmaster.master][INFO] 2019-12-29 03:39:02,057: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34177/
[rosmaster.master][INFO] 2019-12-29 03:39:02,058: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34177/
[rosmaster.master][INFO] 2019-12-29 03:39:02,061: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34177/
[rosmaster.master][INFO] 2019-12-29 03:39:04,189: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40405] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,196: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,197: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,197: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,197: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,197: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,198: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,198: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,198: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,198: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,199: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,199: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,199: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:39:04,302: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43099/
[rosmaster.master][INFO] 2019-12-29 03:39:04,303: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43099/
[rosmaster.master][INFO] 2019-12-29 03:39:04,304: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:43099/
[rosmaster.master][INFO] 2019-12-29 03:39:04,315: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33703/
[rosmaster.master][INFO] 2019-12-29 03:39:04,316: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33703/
[rosmaster.master][INFO] 2019-12-29 03:39:04,317: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33703/
[rosmaster.master][INFO] 2019-12-29 03:39:04,323: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34825/
[rosmaster.master][INFO] 2019-12-29 03:39:04,324: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34825/
[rosmaster.master][INFO] 2019-12-29 03:39:04,324: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:34825/
[rosmaster.master][INFO] 2019-12-29 03:39:04,327: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34177/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43099/']
[rosmaster.master][INFO] 2019-12-29 03:39:04,329: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34177/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43099/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:39:04,330: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34177/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43099/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33703/']
[rosmaster.master][INFO] 2019-12-29 03:39:04,330: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34177/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43099/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33703/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:39:04,331: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:34177/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:43099/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:33703/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:34825/']
