[rosmaster.main][INFO] 2020-02-28 19:30:19,494: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 19:30:19,495: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 19:30:19,495: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 19:30:19,496: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 19:30:19,496: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 19:30:19,496: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 19:30:19,553: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,556: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__42763] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,655: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,655: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,655: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,656: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,656: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,656: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,656: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,656: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,656: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,656: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,656: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,656: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,656: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,657: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:19,658: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36429/
[rosmaster.master][INFO] 2020-02-28 19:30:19,658: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36429/
[rosmaster.master][INFO] 2020-02-28 19:30:19,659: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36429/
[rosmaster.master][INFO] 2020-02-28 19:30:19,662: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36429/
[rosmaster.master][INFO] 2020-02-28 19:30:19,687: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41463/
[rosmaster.master][INFO] 2020-02-28 19:30:19,688: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41463/
[rosmaster.master][INFO] 2020-02-28 19:30:19,689: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41463/
[rosmaster.master][INFO] 2020-02-28 19:30:19,695: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36429/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41463/']
[rosmaster.master][INFO] 2020-02-28 19:30:19,697: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36429/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41463/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 19:30:19,699: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40455/
[rosmaster.master][INFO] 2020-02-28 19:30:19,699: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40455/
[rosmaster.master][INFO] 2020-02-28 19:30:19,700: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40455/
[rosmaster.master][INFO] 2020-02-28 19:30:19,711: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46571/
[rosmaster.master][INFO] 2020-02-28 19:30:19,712: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46571/
[rosmaster.master][INFO] 2020-02-28 19:30:19,713: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:46571/
[rosmaster.master][INFO] 2020-02-28 19:30:19,723: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42901/
[rosmaster.master][INFO] 2020-02-28 19:30:19,724: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42901/
[rosmaster.master][INFO] 2020-02-28 19:30:19,724: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42901/
[rosmaster.master][INFO] 2020-02-28 19:30:19,737: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40455/
[rosmaster.master][INFO] 2020-02-28 19:30:19,738: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40455/
[rosmaster.master][INFO] 2020-02-28 19:30:19,738: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40455/
[rosmaster.master][INFO] 2020-02-28 19:30:19,740: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:30:19,741: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:30:19,743: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40455/
[rosmaster.master][INFO] 2020-02-28 19:30:19,744: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40455/
[rosmaster.master][INFO] 2020-02-28 19:30:19,745: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40455/
[rosmaster.master][INFO] 2020-02-28 19:30:19,746: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40455/
[rosmaster.master][INFO] 2020-02-28 19:30:19,748: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:30:19,748: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:30:19,749: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:30:19,750: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:30:19,750: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:30:19,751: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-28 19:30:19,752: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40455/
