[rosmaster.main][INFO] 2019-12-22 13:55:47,934: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 13:55:47,934: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 13:55:47,935: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-22 13:55:47,935: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-22 13:55:47,935: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 13:55:47,935: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 13:55:47,995: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:47,997: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39437] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,074: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,074: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,074: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,074: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,074: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,074: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,074: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,074: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,074: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,074: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,074: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,074: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 13:55:48,076: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46077/
[rosmaster.master][INFO] 2019-12-22 13:55:48,077: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46077/
[rosmaster.master][INFO] 2019-12-22 13:55:48,078: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46077/
[rosmaster.master][INFO] 2019-12-22 13:55:48,081: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46077/
[rosmaster.master][INFO] 2019-12-22 13:55:48,096: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39261/
[rosmaster.master][INFO] 2019-12-22 13:55:48,097: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39261/
[rosmaster.master][INFO] 2019-12-22 13:55:48,098: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39261/
[rosmaster.master][INFO] 2019-12-22 13:55:48,104: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45223/
