[rosmaster.main][INFO] 2019-12-20 00:15:01,181: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-20 00:15:01,181: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-20 00:15:01,182: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-20 00:15:01,182: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-20 00:15:01,183: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-20 00:15:01,183: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-20 00:15:01,234: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 00:15:01,236: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41485] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 00:15:01,333: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 00:15:01,333: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-20 00:15:01,338: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45243/
[rosmaster.master][INFO] 2019-12-20 00:15:01,338: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45243/
[rosmaster.master][INFO] 2019-12-20 00:15:01,339: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45243/
[rosmaster.master][INFO] 2019-12-20 00:15:01,342: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45243/
[rosmaster.master][INFO] 2019-12-20 00:15:04,948: -PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45243/
[rosmaster.master][INFO] 2019-12-20 00:15:04,948: -SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45243/
[rosmaster.master][INFO] 2019-12-20 00:15:04,949: -SERVICE [/rosout/get_loggers] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:46403
[rosmaster.master][INFO] 2019-12-20 00:15:04,949: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://itachi-HP-Pavilion-Laptop-15-cc1xx:46403
[rosmaster.main][INFO] 2019-12-20 00:15:05,034: keyboard interrupt, will exit
[rosmaster.main][INFO] 2019-12-20 00:15:05,034: stopping master...
[rospy.core][INFO] 2019-12-20 00:15:05,035: signal_shutdown [atexit]
