[rosmaster.main][INFO] 2020-02-04 23:26:30,905: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-04 23:26:30,905: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-04 23:26:30,907: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-04 23:26:30,907: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-04 23:26:30,907: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-04 23:26:30,907: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-04 23:26:30,963: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:30,965: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38221] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,046: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,046: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,046: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,046: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,046: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,046: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,046: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,046: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,046: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,047: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,047: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,047: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:31,079: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40149/
[rosmaster.master][INFO] 2020-02-04 23:26:31,080: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40149/
[rosmaster.master][INFO] 2020-02-04 23:26:31,081: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40149/
[rosmaster.master][INFO] 2020-02-04 23:26:31,085: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:40149/
[rosmaster.master][INFO] 2020-02-04 23:26:31,133: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39481/
[rosmaster.master][INFO] 2020-02-04 23:26:31,134: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39481/
[rosmaster.master][INFO] 2020-02-04 23:26:31,135: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39481/
[rosmaster.master][INFO] 2020-02-04 23:26:31,195: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39481/
[rosmaster.master][INFO] 2020-02-04 23:26:31,196: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39481/
[rosmaster.master][INFO] 2020-02-04 23:26:31,197: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39481/
[rosmaster.master][INFO] 2020-02-04 23:26:31,198: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:39481/
[rosmaster.master][INFO] 2020-02-04 23:26:31,199: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44437/
[rosmaster.master][INFO] 2020-02-04 23:26:31,200: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44437/
[rosmaster.master][INFO] 2020-02-04 23:26:31,201: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44437/
[rosmaster.master][INFO] 2020-02-04 23:26:31,201: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 23:26:31,202: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 23:26:31,203: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 23:26:31,203: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 23:26:31,204: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 23:26:31,204: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-04 23:26:31,206: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40149/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39481/']
[rosmaster.master][INFO] 2020-02-04 23:26:31,208: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40149/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39481/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-04 23:26:31,208: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:40149/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:39481/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:44437/']
