[rosmaster.main][INFO] 2019-11-02 22:54:52,927: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-11-02 22:54:52,927: Starting ROS Master Node
[xmlrpc][INFO] 2019-11-02 22:54:52,928: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-11-02 22:54:52,928: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-11-02 22:54:52,928: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-11-02 22:54:52,928: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-11-02 22:54:52,970: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 22:54:52,971: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35999] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 22:54:53,094: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 22:54:53,094: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 22:54:53,372: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34607/
[rosmaster.master][INFO] 2019-11-02 22:54:53,374: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34607/
[rosmaster.master][INFO] 2019-11-02 22:54:53,378: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34607/
[rosmaster.master][INFO] 2019-11-02 22:54:53,390: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:34607/
[rosmaster.master][INFO] 2019-11-02 22:55:16,199: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37013] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 22:55:16,201: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 22:55:16,201: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2019-11-02 22:55:16,201: +PARAM [/rosdistro] by /roslaunch
