[rosmaster.main][INFO] 2019-12-22 14:10:15,040: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-22 14:10:15,040: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-22 14:10:15,041: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-22 14:10:15,041: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-22 14:10:15,042: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-22 14:10:15,042: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-22 14:10:15,096: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:15,100: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38471] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:15,207: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:15,207: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:15,212: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42901/
[rosmaster.master][INFO] 2019-12-22 14:10:15,213: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42901/
[rosmaster.master][INFO] 2019-12-22 14:10:15,214: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42901/
[rosmaster.master][INFO] 2019-12-22 14:10:15,217: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42901/
[rosmaster.master][INFO] 2019-12-22 14:10:19,918: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40613] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,920: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,920: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,920: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,920: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,920: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,920: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,920: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,920: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,920: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,920: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,921: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,921: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-22 14:10:19,999: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46663/
[rosmaster.master][INFO] 2019-12-22 14:10:20,000: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46663/
[rosmaster.master][INFO] 2019-12-22 14:10:20,001: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:46663/
[rosmaster.master][INFO] 2019-12-22 14:10:20,004: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45573/
[rosmaster.master][INFO] 2019-12-22 14:10:20,005: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45573/
[rosmaster.master][INFO] 2019-12-22 14:10:20,005: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45573/
[rosmaster.master][INFO] 2019-12-22 14:10:20,012: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37729/
[rosmaster.master][INFO] 2019-12-22 14:10:20,013: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37729/
[rosmaster.master][INFO] 2019-12-22 14:10:20,013: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37729/
[rosmaster.master][INFO] 2019-12-22 14:10:20,026: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:40449/
