[rosmaster.main][INFO] 2019-12-29 03:03:24,358: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 03:03:24,358: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 03:03:24,359: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 03:03:24,359: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 03:03:24,359: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 03:03:24,359: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 03:03:24,404: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:24,405: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36145] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:24,485: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:24,485: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:24,491: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45261/
[rosmaster.master][INFO] 2019-12-29 03:03:24,491: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45261/
[rosmaster.master][INFO] 2019-12-29 03:03:24,493: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45261/
[rosmaster.master][INFO] 2019-12-29 03:03:24,496: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45261/
[rosmaster.master][INFO] 2019-12-29 03:03:26,564: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__32819] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,566: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,567: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,567: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,567: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,567: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,567: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,567: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,567: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,567: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,567: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,567: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,567: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:03:26,647: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33091/
[rosmaster.master][INFO] 2019-12-29 03:03:26,648: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33091/
[rosmaster.master][INFO] 2019-12-29 03:03:26,649: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:33091/
[rosmaster.master][INFO] 2019-12-29 03:03:26,655: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39645/
[rosmaster.master][INFO] 2019-12-29 03:03:26,656: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39645/
[rosmaster.master][INFO] 2019-12-29 03:03:26,657: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39645/
[rosmaster.master][INFO] 2019-12-29 03:03:26,663: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43371/
[rosmaster.master][INFO] 2019-12-29 03:03:26,663: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45261/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33091/']
[rosmaster.master][INFO] 2019-12-29 03:03:26,665: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43371/
[rosmaster.master][INFO] 2019-12-29 03:03:26,666: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45261/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33091/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:03:26,666: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43371/
[rosmaster.master][INFO] 2019-12-29 03:03:26,666: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45261/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33091/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39645/']
[rosmaster.master][INFO] 2019-12-29 03:03:26,667: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45261/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33091/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39645/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-29 03:03:26,667: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45261/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33091/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39645/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43371/']
[rosmaster.master][INFO] 2019-12-29 03:03:26,668: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:45261/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:33091/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39645/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43371/']: sec=0.00, result=[1, '', 0]
