[rosmaster.main][INFO] 2019-12-27 16:41:49,771: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 16:41:49,772: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 16:41:49,772: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 16:41:49,773: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 16:41:49,773: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 16:41:49,773: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 16:41:49,832: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:41:49,835: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37927] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:41:49,934: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:41:49,934: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:41:49,938: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44693/
[rosmaster.master][INFO] 2019-12-27 16:41:49,939: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44693/
[rosmaster.master][INFO] 2019-12-27 16:41:49,940: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44693/
[rosmaster.master][INFO] 2019-12-27 16:41:49,943: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:44693/
[rosmaster.master][INFO] 2019-12-27 16:42:00,993: +PUB [/rosout] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:38631/
[rosmaster.master][INFO] 2019-12-27 16:42:00,994: +SERVICE [/DroneNode/get_loggers] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:38631/
[rosmaster.master][INFO] 2019-12-27 16:42:00,994: +SERVICE [/DroneNode/set_logger_level] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:38631/
[rosmaster.master][INFO] 2019-12-27 16:42:00,998: +SUB [/drone_command] /DroneNode http://itachi-HP-Pavilion-Laptop-15-cc1xx:38631/
[rosmaster.master][INFO] 2019-12-27 16:42:00,998: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44693/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38631/']
[rosmaster.master][INFO] 2019-12-27 16:42:00,999: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:44693/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38631/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-27 16:42:10,851: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__38815] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,853: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,854: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,854: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,854: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,854: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,854: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,854: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,854: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,854: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,854: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,854: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,854: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 16:42:10,935: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/
[rosmaster.master][INFO] 2019-12-27 16:42:10,936: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/
[rosmaster.master][INFO] 2019-12-27 16:42:10,937: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/
[rosmaster.master][INFO] 2019-12-27 16:42:10,942: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33155/
[rosmaster.master][INFO] 2019-12-27 16:42:10,943: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33155/
[rosmaster.master][INFO] 2019-12-27 16:42:10,943: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33155/
[rosmaster.master][INFO] 2019-12-27 16:42:10,954: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-27 16:42:10,954: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-27 16:42:10,955: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45939/
[rosmaster.master][INFO] 2019-12-27 16:42:10,962: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43027/
[rosmaster.master][INFO] 2019-12-27 16:42:10,962: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43027/
[rosmaster.master][INFO] 2019-12-27 16:42:10,963: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43027/
[rosmaster.master][INFO] 2019-12-27 16:42:10,987: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33155/
[rosmaster.master][INFO] 2019-12-27 16:42:10,988: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33155/
[rosmaster.master][INFO] 2019-12-27 16:42:10,990: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33155/
[rosmaster.master][INFO] 2019-12-27 16:42:10,992: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 16:42:10,992: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/
[rosmaster.master][INFO] 2019-12-27 16:42:10,993: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 16:42:10,995: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/
[rosmaster.master][INFO] 2019-12-27 16:42:10,996: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/
[rosmaster.master][INFO] 2019-12-27 16:42:10,997: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33155/
[rosmaster.master][INFO] 2019-12-27 16:42:10,999: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:45747/
[rosmaster.master][INFO] 2019-12-27 16:42:11,001: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33155/
[rosmaster.master][INFO] 2019-12-27 16:42:11,002: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33155/
[rosmaster.master][INFO] 2019-12-27 16:42:11,003: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:33155/
