[rosmaster.main][INFO] 2019-12-31 19:21:43,768: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-31 19:21:43,768: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-31 19:21:43,769: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-31 19:21:43,769: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-31 19:21:43,769: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-31 19:21:43,769: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-31 19:21:43,800: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:43,801: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41257] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:43,872: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:43,873: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:43,877: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45223/
[rosmaster.master][INFO] 2019-12-31 19:21:43,878: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45223/
[rosmaster.master][INFO] 2019-12-31 19:21:43,879: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45223/
[rosmaster.master][INFO] 2019-12-31 19:21:43,882: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45223/
[rosmaster.master][INFO] 2019-12-31 19:21:45,289: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44901] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:45,291: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:45,292: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:45,292: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:45,292: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:45,292: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:45,292: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:45,292: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:45,292: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:45,292: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:45,292: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:45,292: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-31 19:21:45,292: +PARAM [/whycon/inner_diameter] by /roslaunch
