[rosmaster.main][INFO] 2020-02-05 22:06:37,513: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-05 22:06:37,513: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-05 22:06:37,514: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-05 22:06:37,514: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-05 22:06:37,514: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-05 22:06:37,514: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-05 22:06:37,566: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,566: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33793] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,638: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,638: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,638: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,638: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,639: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,639: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,639: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,639: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,639: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,639: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,639: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,639: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,639: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,639: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 22:06:37,641: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33787/
[rosmaster.master][INFO] 2020-02-05 22:06:37,641: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33787/
[rosmaster.master][INFO] 2020-02-05 22:06:37,642: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33787/
[rosmaster.master][INFO] 2020-02-05 22:06:37,645: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33787/
[rosmaster.master][INFO] 2020-02-05 22:06:37,674: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37397/
[rosmaster.master][INFO] 2020-02-05 22:06:37,675: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37397/
[rosmaster.master][INFO] 2020-02-05 22:06:37,676: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37397/
[rosmaster.master][INFO] 2020-02-05 22:06:37,687: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36865/
[rosmaster.master][INFO] 2020-02-05 22:06:37,688: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36865/
[rosmaster.master][INFO] 2020-02-05 22:06:37,689: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:36865/
[rosmaster.master][INFO] 2020-02-05 22:06:37,700: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45245/
[rosmaster.master][INFO] 2020-02-05 22:06:37,703: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45245/
[rosmaster.master][INFO] 2020-02-05 22:06:37,703: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:45245/
[rosmaster.master][INFO] 2020-02-05 22:06:37,714: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41147/
[rosmaster.master][INFO] 2020-02-05 22:06:37,714: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33787/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37397/']
[rosmaster.master][INFO] 2020-02-05 22:06:37,716: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41147/
[rosmaster.master][INFO] 2020-02-05 22:06:37,716: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33787/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37397/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 22:06:37,716: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33787/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:37397/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:36865/']
[rosmaster.master][INFO] 2020-02-05 22:06:37,717: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:41147/
