[rosmaster.main][INFO] 2020-02-05 20:47:57,812: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-05 20:47:57,812: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-05 20:47:57,813: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-05 20:47:57,813: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-05 20:47:57,813: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-05 20:47:57,813: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-05 20:47:57,874: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:57,875: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__44883] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,030: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,030: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,031: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,031: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,032: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,032: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,033: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,033: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,033: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,034: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,034: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,035: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 20:47:58,965: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38573/
[rosmaster.master][INFO] 2020-02-05 20:47:58,967: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38573/
[rosmaster.master][INFO] 2020-02-05 20:47:58,972: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38573/
