[rosmaster.main][INFO] 2020-02-27 14:38:16,489: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-27 14:38:16,489: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-27 14:38:16,490: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-27 14:38:16,490: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-27 14:38:16,490: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-27 14:38:16,490: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-27 14:38:16,546: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,550: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34505] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,650: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,650: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,650: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,650: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,650: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,650: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,650: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,650: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,650: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,650: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,650: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,650: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,651: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,651: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-27 14:38:16,652: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38605/
[rosmaster.master][INFO] 2020-02-27 14:38:16,653: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38605/
[rosmaster.master][INFO] 2020-02-27 14:38:16,654: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38605/
[rosmaster.master][INFO] 2020-02-27 14:38:16,658: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:38605/
[rosmaster.master][INFO] 2020-02-27 14:38:16,688: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,689: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,690: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/']
[rosmaster.master][INFO] 2020-02-27 14:38:16,690: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,692: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 14:38:16,700: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,701: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,702: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,708: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/
[rosmaster.master][INFO] 2020-02-27 14:38:16,710: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/
[rosmaster.master][INFO] 2020-02-27 14:38:16,711: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/
[rosmaster.master][INFO] 2020-02-27 14:38:16,725: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43867/
[rosmaster.master][INFO] 2020-02-27 14:38:16,726: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43867/
[rosmaster.master][INFO] 2020-02-27 14:38:16,727: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43867/
[rosmaster.master][INFO] 2020-02-27 14:38:16,733: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,734: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,735: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,736: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,737: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,739: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,740: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,741: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,742: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,744: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,746: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,747: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,747: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,748: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,749: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,751: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,751: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,752: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,754: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,756: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,757: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 14:38:16,758: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,758: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 14:38:16,759: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,760: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 14:38:16,761: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,762: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 14:38:16,764: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 14:38:16,765: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 14:38:16,766: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/
[rosmaster.master][INFO] 2020-02-27 14:38:16,769: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,769: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,771: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,771: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,772: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,773: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,774: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,774: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,777: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,780: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-27 14:38:16,781: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 14:38:16,782: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/
[rosmaster.master][INFO] 2020-02-27 14:38:16,783: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,784: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 14:38:16,786: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,786: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 14:38:16,788: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,788: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 14:38:16,790: +PUB [/usb_cam/image_mono/theora/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,790: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 14:38:16,791: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/']
[rosmaster.master][INFO] 2020-02-27 14:38:16,792: +PUB [/usb_cam/image_mono/theora/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/
[rosmaster.master][INFO] 2020-02-27 14:38:16,793: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 14:38:16,793: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/']
[rosmaster.master][INFO] 2020-02-27 14:38:16,794: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-27 14:38:16,794: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 14:38:16,796: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43867/']
[rosmaster.master][INFO] 2020-02-27 14:38:16,796: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/
[rosmaster.master][INFO] 2020-02-27 14:38:16,797: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:38605/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39699/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:43867/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-27 14:38:16,797: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,799: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/
[rosmaster.master][INFO] 2020-02-27 14:38:16,800: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,801: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/
[rosmaster.master][INFO] 2020-02-27 14:38:16,803: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38297/
[rosmaster.master][INFO] 2020-02-27 14:38:16,804: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42155/
[rosmaster.master][INFO] 2020-02-27 14:38:16,804: +PARAM [/usb_cam/image_mono/theora/optimize_for] by /usb_cam/image_proc
