[rosmaster.main][INFO] 2020-02-29 00:02:36,731: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-29 00:02:36,731: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-29 00:02:36,731: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-29 00:02:36,732: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-29 00:02:36,732: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-29 00:02:36,732: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-29 00:02:36,792: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,793: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__32829] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:36,857: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-29 00:02:37,112: +PUB [/rosout] /serial_node http://itachi-HP-Pavilion-Laptop-15-cc1xx:41017/
[rosmaster.master][INFO] 2020-02-29 00:02:37,114: +SERVICE [/serial_node/get_loggers] /serial_node http://itachi-HP-Pavilion-Laptop-15-cc1xx:41017/
[rosmaster.master][INFO] 2020-02-29 00:02:37,115: +SERVICE [/serial_node/set_logger_level] /serial_node http://itachi-HP-Pavilion-Laptop-15-cc1xx:41017/
[rosmaster.master][INFO] 2020-02-29 00:02:37,120: +PUB [/diagnostics] /serial_node http://itachi-HP-Pavilion-Laptop-15-cc1xx:41017/
[rosmaster.master][INFO] 2020-02-29 00:02:37,121: -PUB [/diagnostics] /serial_node http://itachi-HP-Pavilion-Laptop-15-cc1xx:41017/
