[rosmaster.main][INFO] 2020-02-04 23:26:39,991: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-04 23:26:39,991: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-04 23:26:39,992: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-04 23:26:39,992: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-04 23:26:39,992: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-04 23:26:39,992: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-04 23:26:40,039: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,041: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__34303] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,132: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,132: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,133: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,133: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,133: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,133: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,133: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,133: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,133: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,134: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,134: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,134: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-04 23:26:40,135: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43405/
[rosmaster.master][INFO] 2020-02-04 23:26:40,135: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43405/
[rosmaster.master][INFO] 2020-02-04 23:26:40,136: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43405/
[rosmaster.master][INFO] 2020-02-04 23:26:40,139: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43405/
[rosmaster.master][INFO] 2020-02-04 23:26:40,155: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40957/
[rosmaster.master][INFO] 2020-02-04 23:26:40,156: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40957/
