[rosmaster.main][INFO] 2019-12-23 04:07:55,316: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-23 04:07:55,316: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-23 04:07:55,317: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-23 04:07:55,317: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-23 04:07:55,318: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-23 04:07:55,318: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-23 04:07:55,379: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,382: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__40367] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,482: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,483: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,483: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,483: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,483: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,483: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,483: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,483: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,483: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,483: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,483: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,483: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-23 04:07:55,485: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41649/
[rosmaster.master][INFO] 2019-12-23 04:07:55,486: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41649/
[rosmaster.master][INFO] 2019-12-23 04:07:55,487: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41649/
[rosmaster.master][INFO] 2019-12-23 04:07:55,490: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41649/
