[rosmaster.main][INFO] 2019-12-29 03:25:02,862: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 03:25:02,862: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 03:25:02,863: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 03:25:02,863: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 03:25:02,863: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 03:25:02,863: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 03:25:02,916: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:02,918: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37489] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:03,004: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:03,004: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:03,009: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36909/
[rosmaster.master][INFO] 2019-12-29 03:25:03,010: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36909/
[rosmaster.master][INFO] 2019-12-29 03:25:03,012: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36909/
[rosmaster.master][INFO] 2019-12-29 03:25:03,015: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36909/
[rosmaster.master][INFO] 2019-12-29 03:25:05,702: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36543] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,705: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,705: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,705: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,705: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,705: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,705: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,705: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,705: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,705: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,705: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,706: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,706: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 03:25:05,792: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42997/
[rosmaster.master][INFO] 2019-12-29 03:25:05,792: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42997/
[rosmaster.master][INFO] 2019-12-29 03:25:05,793: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:42997/
[rosmaster.master][INFO] 2019-12-29 03:25:05,800: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43699/
[rosmaster.master][INFO] 2019-12-29 03:25:05,801: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43699/
[rosmaster.master][INFO] 2019-12-29 03:25:05,801: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:43699/
[rosmaster.master][INFO] 2019-12-29 03:25:05,809: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37983/
[rosmaster.master][INFO] 2019-12-29 03:25:05,810: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37983/
[rosmaster.master][INFO] 2019-12-29 03:25:05,811: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:37983/
[rosmaster.master][INFO] 2019-12-29 03:25:05,821: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43213/
[rosmaster.master][INFO] 2019-12-29 03:25:05,822: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43213/
[rosmaster.master][INFO] 2019-12-29 03:25:05,823: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:43213/
