[rosmaster.main][INFO] 2019-12-28 00:55:55,669: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 00:55:55,669: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 00:55:55,670: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 00:55:55,670: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 00:55:55,671: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 00:55:55,671: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 00:55:55,714: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:55,715: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41639] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:55,801: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:55,801: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:55,808: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/
[rosmaster.master][INFO] 2019-12-28 00:55:55,809: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/
[rosmaster.master][INFO] 2019-12-28 00:55:55,811: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/
[rosmaster.master][INFO] 2019-12-28 00:55:55,814: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46457/
[rosmaster.master][INFO] 2019-12-28 00:55:57,328: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__37461] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,331: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,332: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,332: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,332: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,332: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,332: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,332: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,332: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,332: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,332: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,332: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,332: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:55:57,421: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2019-12-28 00:55:57,422: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2019-12-28 00:55:57,423: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2019-12-28 00:55:57,427: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45803/
[rosmaster.master][INFO] 2019-12-28 00:55:57,428: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45803/
[rosmaster.master][INFO] 2019-12-28 00:55:57,429: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45803/
[rosmaster.master][INFO] 2019-12-28 00:55:57,437: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42949/
[rosmaster.master][INFO] 2019-12-28 00:55:57,438: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42949/
[rosmaster.master][INFO] 2019-12-28 00:55:57,438: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42949/
[rosmaster.master][INFO] 2019-12-28 00:55:57,449: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45651/
[rosmaster.master][INFO] 2019-12-28 00:55:57,450: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45651/
[rosmaster.master][INFO] 2019-12-28 00:55:57,450: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45651/
[rosmaster.master][INFO] 2019-12-28 00:55:57,452: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45803/
[rosmaster.master][INFO] 2019-12-28 00:55:57,453: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45803/
[rosmaster.master][INFO] 2019-12-28 00:55:57,454: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45803/
[rosmaster.master][INFO] 2019-12-28 00:55:57,455: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2019-12-28 00:55:57,456: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:55:57,456: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2019-12-28 00:55:57,457: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:55:57,457: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2019-12-28 00:55:57,458: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41955/
[rosmaster.master][INFO] 2019-12-28 00:55:57,459: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45803/
[rosmaster.master][INFO] 2019-12-28 00:55:57,461: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45803/
