[rosmaster.main][INFO] 2019-12-29 02:49:17,314: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-29 02:49:17,315: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-29 02:49:17,315: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-29 02:49:17,316: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-29 02:49:17,316: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-29 02:49:17,316: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-29 02:49:17,364: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:17,365: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45091] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:17,445: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:17,445: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:17,450: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45257/
[rosmaster.master][INFO] 2019-12-29 02:49:17,450: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45257/
[rosmaster.master][INFO] 2019-12-29 02:49:17,452: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45257/
[rosmaster.master][INFO] 2019-12-29 02:49:17,454: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:45257/
[rosmaster.master][INFO] 2019-12-29 02:49:19,049: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45085] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,051: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,051: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,051: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,051: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,052: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,052: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,052: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,052: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,052: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,052: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,052: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,052: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-29 02:49:19,137: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35275/
[rosmaster.master][INFO] 2019-12-29 02:49:19,138: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35275/
[rosmaster.master][INFO] 2019-12-29 02:49:19,139: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35275/
[rosmaster.master][INFO] 2019-12-29 02:49:19,144: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42063/
[rosmaster.master][INFO] 2019-12-29 02:49:19,145: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42063/
[rosmaster.master][INFO] 2019-12-29 02:49:19,146: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42063/
[rosmaster.master][INFO] 2019-12-29 02:49:19,152: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43243/
[rosmaster.master][INFO] 2019-12-29 02:49:19,153: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43243/
[rosmaster.master][INFO] 2019-12-29 02:49:19,154: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43243/
[rosmaster.master][INFO] 2019-12-29 02:49:19,157: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:35843/
[rosmaster.master][INFO] 2019-12-29 02:49:19,158: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:35843/
[rosmaster.master][INFO] 2019-12-29 02:49:19,159: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:35843/
[rosmaster.master][INFO] 2019-12-29 02:49:19,173: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42063/
[rosmaster.master][INFO] 2019-12-29 02:49:19,174: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42063/
[rosmaster.master][INFO] 2019-12-29 02:49:19,174: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42063/
[rosmaster.master][INFO] 2019-12-29 02:49:19,175: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 02:49:19,176: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35275/
[rosmaster.master][INFO] 2019-12-29 02:49:19,177: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-29 02:49:19,178: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35275/
[rosmaster.master][INFO] 2019-12-29 02:49:19,180: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35275/
[rosmaster.master][INFO] 2019-12-29 02:49:19,181: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35275/
[rosmaster.master][INFO] 2019-12-29 02:49:19,181: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42063/
[rosmaster.master][INFO] 2019-12-29 02:49:19,183: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42063/
[rosmaster.master][INFO] 2019-12-29 02:49:19,185: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42063/
[rosmaster.master][INFO] 2019-12-29 02:49:19,186: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42063/
