[rosmaster.main][INFO] 2020-02-28 19:30:42,103: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 19:30:42,103: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 19:30:42,104: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 19:30:42,104: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 19:30:42,104: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 19:30:42,104: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 19:30:42,162: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,164: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35235] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,261: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,261: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,261: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,261: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,261: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,261: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,262: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,262: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,262: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,262: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,262: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,262: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,262: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,263: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:30:42,263: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36473/
[rosmaster.master][INFO] 2020-02-28 19:30:42,264: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36473/
[rosmaster.master][INFO] 2020-02-28 19:30:42,265: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36473/
[rosmaster.master][INFO] 2020-02-28 19:30:42,268: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:36473/
[rosmaster.master][INFO] 2020-02-28 19:30:42,292: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36709/
[rosmaster.master][INFO] 2020-02-28 19:30:42,293: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36709/
[rosmaster.master][INFO] 2020-02-28 19:30:42,294: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:36709/
[rosmaster.master][INFO] 2020-02-28 19:30:42,303: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36473/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36709/']
[rosmaster.master][INFO] 2020-02-28 19:30:42,305: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:36473/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:36709/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-28 19:30:42,307: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42679/
[rosmaster.master][INFO] 2020-02-28 19:30:42,308: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42679/
[rosmaster.master][INFO] 2020-02-28 19:30:42,308: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:42679/
[rosmaster.master][INFO] 2020-02-28 19:30:42,311: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:44495/
