[rosmaster.main][INFO] 2020-02-05 21:38:14,005: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-05 21:38:14,005: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-05 21:38:14,006: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-05 21:38:14,006: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-05 21:38:14,006: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-05 21:38:14,006: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-05 21:38:14,069: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,073: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__43477] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,150: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,150: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,150: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,150: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,151: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,151: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,151: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,151: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,151: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,151: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,151: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,151: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-05 21:38:14,153: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43837/
[rosmaster.master][INFO] 2020-02-05 21:38:14,153: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43837/
[rosmaster.master][INFO] 2020-02-05 21:38:14,154: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43837/
[rosmaster.master][INFO] 2020-02-05 21:38:14,157: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43837/
[rosmaster.master][INFO] 2020-02-05 21:38:14,174: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,175: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,175: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,183: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,184: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,185: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,192: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/
[rosmaster.master][INFO] 2020-02-05 21:38:14,193: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/
[rosmaster.master][INFO] 2020-02-05 21:38:14,193: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/
[rosmaster.master][INFO] 2020-02-05 21:38:14,201: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45265/
[rosmaster.master][INFO] 2020-02-05 21:38:14,201: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45265/
[rosmaster.master][INFO] 2020-02-05 21:38:14,202: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:45265/
[rosmaster.master][INFO] 2020-02-05 21:38:14,205: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/']
[rosmaster.master][INFO] 2020-02-05 21:38:14,208: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 21:38:14,209: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/']
[rosmaster.master][INFO] 2020-02-05 21:38:14,209: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 21:38:14,209: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/']
[rosmaster.master][INFO] 2020-02-05 21:38:14,211: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 21:38:14,211: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45265/']
[rosmaster.master][INFO] 2020-02-05 21:38:14,211: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:43837/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45265/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-05 21:38:14,219: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,220: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,221: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,223: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,224: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,225: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,226: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,227: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,228: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,229: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,229: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,230: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/
[rosmaster.master][INFO] 2020-02-05 21:38:14,231: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,231: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,236: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:38:14,237: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,239: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:38:14,239: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,241: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:38:14,242: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,242: +SUB [/usb_cam/image_rect_color] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/
[rosmaster.master][INFO] 2020-02-05 21:38:14,243: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:38:14,243: +PARAM [/usb_cam/image_mono/compressedDepth/depth_max] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,244: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:38:14,246: +PARAM [/usb_cam/image_mono/compressedDepth/depth_quantization] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,246: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:38:14,247: +PARAM [/usb_cam/image_mono/compressedDepth/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,248: +PUB [/usb_cam/image_raw/compressed] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,250: +SERVICE [/usb_cam/image_raw/compressed/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,250: +PUB [/usb_cam/image_mono/compressed] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,251: +SUB [/usb_cam/camera_info] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/
[rosmaster.master][INFO] 2020-02-05 21:38:14,251: +PUB [/usb_cam/image_raw/compressed/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,252: +SERVICE [/usb_cam/image_mono/compressed/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,253: +PUB [/whycon/image_out] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/
[rosmaster.master][INFO] 2020-02-05 21:38:14,253: +PUB [/usb_cam/image_raw/compressed/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,254: +PUB [/usb_cam/image_mono/compressed/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,255: +PUB [/whycon/poses] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/
[rosmaster.master][INFO] 2020-02-05 21:38:14,257: +PUB [/usb_cam/image_mono/compressed/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,257: +PUB [/whycon/context] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/
[rosmaster.master][INFO] 2020-02-05 21:38:14,259: +PUB [/whycon/projection] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/
[rosmaster.master][INFO] 2020-02-05 21:38:14,260: +SERVICE [/whycon/reset] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39091/
[rosmaster.master][INFO] 2020-02-05 21:38:14,261: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:38:14,262: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:38:14,262: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,263: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:38:14,263: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,264: +PARAM [/usb_cam/image_raw/compressed/format] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:38:14,265: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,265: +PARAM [/usb_cam/image_raw/compressed/jpeg_quality] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:38:14,266: +PARAM [/usb_cam/image_mono/compressed/format] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,266: +PARAM [/usb_cam/image_raw/compressed/png_level] by /usb_cam
[rosmaster.master][INFO] 2020-02-05 21:38:14,267: +PARAM [/usb_cam/image_mono/compressed/jpeg_quality] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,267: +PARAM [/usb_cam/image_mono/compressed/png_level] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-05 21:38:14,268: +PUB [/usb_cam/image_raw] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,269: +PUB [/usb_cam/image_mono] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,269: +PUB [/usb_cam/image_raw/theora] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,270: +SERVICE [/usb_cam/image_raw/theora/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,270: +PUB [/usb_cam/image_mono/theora] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
[rosmaster.master][INFO] 2020-02-05 21:38:14,271: +PUB [/usb_cam/image_raw/theora/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40879/
[rosmaster.master][INFO] 2020-02-05 21:38:14,271: +SERVICE [/usb_cam/image_mono/theora/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40247/
