[rosmaster.main][INFO] 2020-02-28 19:09:19,022: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 19:09:19,022: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 19:09:19,024: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 19:09:19,024: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 19:09:19,024: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 19:09:19,024: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 19:09:19,063: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:09:19,065: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__35479] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:09:19,172: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:09:19,172: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 19:09:19,185: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46711/
[rosmaster.master][INFO] 2020-02-28 19:09:19,186: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46711/
[rosmaster.master][INFO] 2020-02-28 19:09:19,188: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46711/
[rosmaster.master][INFO] 2020-02-28 19:09:19,192: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:46711/
[rosmaster.master][INFO] 2020-02-28 19:09:20,470: -PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38291/
[rosmaster.master][INFO] 2020-02-28 19:09:20,471: -PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38291/
[rosmaster.master][INFO] 2020-02-28 19:09:20,471: -PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:38291/
