[rosmaster.main][INFO] 2020-02-28 17:57:44,592: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-28 17:57:44,592: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-28 17:57:44,593: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-28 17:57:44,593: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-28 17:57:44,593: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-28 17:57:44,593: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-28 17:57:44,641: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,644: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__36183] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,745: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,745: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,746: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,746: +PARAM [/serial_node/baud] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,746: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,746: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,746: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,746: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,746: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,746: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,746: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,746: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,746: +PARAM [/serial_node/port] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,746: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-28 17:57:44,748: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41877/
[rosmaster.master][INFO] 2020-02-28 17:57:44,749: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41877/
[rosmaster.master][INFO] 2020-02-28 17:57:44,750: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41877/
[rosmaster.master][INFO] 2020-02-28 17:57:44,753: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41877/
