[rosmaster.main][INFO] 2020-02-03 23:56:40,907: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-03 23:56:40,907: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-03 23:56:40,908: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2020-02-03 23:56:40,908: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-03 23:56:40,908: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-03 23:56:40,908: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-03 23:56:40,955: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:40,956: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__41641] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,034: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,034: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,035: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,035: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,035: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,035: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,035: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,035: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,035: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,035: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,035: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,035: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-03 23:56:41,037: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33739/
[rosmaster.master][INFO] 2020-02-03 23:56:41,038: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33739/
[rosmaster.master][INFO] 2020-02-03 23:56:41,039: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33739/
[rosmaster.master][INFO] 2020-02-03 23:56:41,042: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:33739/
[rosmaster.master][INFO] 2020-02-03 23:56:41,058: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40723/
[rosmaster.master][INFO] 2020-02-03 23:56:41,059: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40723/
[rosmaster.master][INFO] 2020-02-03 23:56:41,059: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40723/
[rosmaster.master][INFO] 2020-02-03 23:56:41,068: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40621/
[rosmaster.master][INFO] 2020-02-03 23:56:41,069: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40621/
[rosmaster.master][INFO] 2020-02-03 23:56:41,069: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40621/
[rosmaster.master][INFO] 2020-02-03 23:56:41,074: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43129/
[rosmaster.master][INFO] 2020-02-03 23:56:41,075: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43129/
[rosmaster.master][INFO] 2020-02-03 23:56:41,076: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:43129/
[rosmaster.master][INFO] 2020-02-03 23:56:41,092: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39421/
[rosmaster.master][INFO] 2020-02-03 23:56:41,094: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39421/
[rosmaster.master][INFO] 2020-02-03 23:56:41,095: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40621/
[rosmaster.master][INFO] 2020-02-03 23:56:41,095: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:39421/
[rosmaster.master][INFO] 2020-02-03 23:56:41,096: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40621/
[rosmaster.master][INFO] 2020-02-03 23:56:41,097: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40621/
[rosmaster.master][INFO] 2020-02-03 23:56:41,100: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-03 23:56:41,101: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2020-02-03 23:56:41,104: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40621/
[rosmaster.master][INFO] 2020-02-03 23:56:41,105: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40621/
[rosmaster.master][INFO] 2020-02-03 23:56:41,106: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40723/
[rosmaster.master][INFO] 2020-02-03 23:56:41,106: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40621/
[rosmaster.master][INFO] 2020-02-03 23:56:41,107: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40723/
[rosmaster.master][INFO] 2020-02-03 23:56:41,108: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33739/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40723/']
[rosmaster.master][INFO] 2020-02-03 23:56:41,109: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:40621/
[rosmaster.master][INFO] 2020-02-03 23:56:41,110: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:33739/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:40723/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-03 23:56:41,110: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:40723/
