[rosmaster.main][INFO] 2020-02-02 15:01:03,078: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-02 15:01:03,079: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-02 15:01:03,079: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-02 15:01:03,080: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-02 15:01:03,080: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-02 15:01:03,080: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-02 15:01:03,117: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,119: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__46069] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,212: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,212: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,212: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,212: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,212: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,212: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,212: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,212: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,213: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,213: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,213: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:03,213: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 15:01:04,070: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:42367/
[rosmaster.master][INFO] 2020-02-02 15:01:04,073: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37049/
