[rosmaster.main][INFO] 2020-02-02 22:46:19,606: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-02-02 22:46:19,606: Starting ROS Master Node
[xmlrpc][INFO] 2020-02-02 22:46:19,607: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-02-02 22:46:19,607: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2020-02-02 22:46:19,607: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2020-02-02 22:46:19,607: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-02-02 22:46:19,664: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,666: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__39095] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,768: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,768: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,768: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,769: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,769: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,769: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,769: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,769: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,770: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,770: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,770: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,770: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2020-02-02 22:46:19,770: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37211/
[rosmaster.master][INFO] 2020-02-02 22:46:19,771: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37211/
[rosmaster.master][INFO] 2020-02-02 22:46:19,772: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37211/
[rosmaster.master][INFO] 2020-02-02 22:46:19,775: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:37211/
[rosmaster.master][INFO] 2020-02-02 22:46:19,792: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/
[rosmaster.master][INFO] 2020-02-02 22:46:19,793: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/
[rosmaster.master][INFO] 2020-02-02 22:46:19,794: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/
[rosmaster.master][INFO] 2020-02-02 22:46:19,801: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45283/
[rosmaster.master][INFO] 2020-02-02 22:46:19,802: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45283/
[rosmaster.master][INFO] 2020-02-02 22:46:19,802: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:45283/
[rosmaster.master][INFO] 2020-02-02 22:46:19,806: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37211/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/']
[rosmaster.master][INFO] 2020-02-02 22:46:19,809: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37211/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-02-02 22:46:19,809: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37211/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45283/']
[rosmaster.master][INFO] 2020-02-02 22:46:19,810: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:42153/
[rosmaster.master][INFO] 2020-02-02 22:46:19,810: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:37211/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:41997/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:45283/']: sec=0.00, result=[1, '', 0]
