[rosmaster.main][INFO] 2019-12-27 18:51:02,463: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-27 18:51:02,463: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-27 18:51:02,464: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-27 18:51:02,465: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-27 18:51:02,465: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-27 18:51:02,465: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-27 18:51:02,569: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:02,571: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45239] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:02,675: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:02,675: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:02,682: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43597/
[rosmaster.master][INFO] 2019-12-27 18:51:02,683: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43597/
[rosmaster.master][INFO] 2019-12-27 18:51:02,685: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43597/
[rosmaster.master][INFO] 2019-12-27 18:51:02,689: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:43597/
[rosmaster.master][INFO] 2019-12-27 18:51:05,703: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__33555] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,710: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,710: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,711: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,711: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,711: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,711: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,711: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,711: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,711: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,712: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,712: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,712: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-27 18:51:05,874: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37773/
[rosmaster.master][INFO] 2019-12-27 18:51:05,875: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37773/
[rosmaster.master][INFO] 2019-12-27 18:51:05,877: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37773/
[rosmaster.master][INFO] 2019-12-27 18:51:05,882: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44909/
[rosmaster.master][INFO] 2019-12-27 18:51:05,884: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44909/
[rosmaster.master][INFO] 2019-12-27 18:51:05,886: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44909/
[rosmaster.master][INFO] 2019-12-27 18:51:05,896: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39453/
[rosmaster.master][INFO] 2019-12-27 18:51:05,897: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39453/
[rosmaster.master][INFO] 2019-12-27 18:51:05,898: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39453/
[rosmaster.master][INFO] 2019-12-27 18:51:05,920: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37309/
[rosmaster.master][INFO] 2019-12-27 18:51:05,922: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37309/
[rosmaster.master][INFO] 2019-12-27 18:51:05,924: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:37309/
[rosmaster.master][INFO] 2019-12-27 18:51:05,933: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44909/
[rosmaster.master][INFO] 2019-12-27 18:51:05,935: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37773/
[rosmaster.master][INFO] 2019-12-27 18:51:05,937: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44909/
[rosmaster.master][INFO] 2019-12-27 18:51:05,938: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37773/
[rosmaster.master][INFO] 2019-12-27 18:51:05,941: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44909/
[rosmaster.master][INFO] 2019-12-27 18:51:05,941: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37773/
[rosmaster.master][INFO] 2019-12-27 18:51:05,944: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:37773/
[rosmaster.master][INFO] 2019-12-27 18:51:05,945: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 18:51:05,949: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-27 18:51:05,953: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44909/
[rosmaster.master][INFO] 2019-12-27 18:51:05,957: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 18:51:05,958: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44909/
[rosmaster.master][INFO] 2019-12-27 18:51:05,959: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 18:51:05,961: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44909/
[rosmaster.master][INFO] 2019-12-27 18:51:05,961: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 18:51:05,963: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:44909/
[rosmaster.master][INFO] 2019-12-27 18:51:05,963: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 18:51:05,967: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
[rosmaster.master][INFO] 2019-12-27 18:51:05,968: +PUB [/tf] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:39453/
[rosmaster.master][INFO] 2019-12-27 18:51:05,969: +PARAM [/usb_cam/image_raw/compressedDepth/png_level] by /usb_cam
