[rosmaster.main][INFO] 2019-12-28 00:41:49,909: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-12-28 00:41:49,910: Starting ROS Master Node
[xmlrpc][INFO] 2019-12-28 00:41:49,910: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-12-28 00:41:49,911: Started XML-RPC server [http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[xmlrpc][INFO] 2019-12-28 00:41:49,911: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-12-28 00:41:49,911: Master initialized: port[11311], uri[http://itachi-HP-Pavilion-Laptop-15-cc1xx:11311/]
[rosmaster.master][INFO] 2019-12-28 00:41:49,953: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:49,954: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45739] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:50,029: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:50,030: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:50,035: +SERVICE [/rosout/get_loggers] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41921/
[rosmaster.master][INFO] 2019-12-28 00:41:50,036: +SERVICE [/rosout/set_logger_level] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41921/
[rosmaster.master][INFO] 2019-12-28 00:41:50,037: +PUB [/rosout_agg] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41921/
[rosmaster.master][INFO] 2019-12-28 00:41:50,040: +SUB [/rosout] /rosout http://itachi-HP-Pavilion-Laptop-15-cc1xx:41921/
[rosmaster.master][INFO] 2019-12-28 00:41:52,390: +PARAM [/roslaunch/uris/host_itachi_hp_pavilion_laptop_15_cc1xx__45863] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,393: +PARAM [/usb_cam/image_width] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,393: +PARAM [/usb_cam/video_device] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,393: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,393: +PARAM [/whycon/targets] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,393: +PARAM [/usb_cam/pixel_format] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,393: +PARAM [/usb_cam/io_method] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,393: +PARAM [/usb_cam/camera_frame_id] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,393: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,393: +PARAM [/whycon/outer_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,393: +PARAM [/usb_cam/image_height] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,394: +PARAM [/whycon/name] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,394: +PARAM [/whycon/inner_diameter] by /roslaunch
[rosmaster.master][INFO] 2019-12-28 00:41:52,482: +PUB [/rosout] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/
[rosmaster.master][INFO] 2019-12-28 00:41:52,483: +SERVICE [/usb_cam/get_loggers] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/
[rosmaster.master][INFO] 2019-12-28 00:41:52,484: +SERVICE [/usb_cam/set_logger_level] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/
[rosmaster.master][INFO] 2019-12-28 00:41:52,488: +PUB [/rosout] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/
[rosmaster.master][INFO] 2019-12-28 00:41:52,489: +SERVICE [/usb_cam/image_proc/get_loggers] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/
[rosmaster.master][INFO] 2019-12-28 00:41:52,490: +SERVICE [/usb_cam/image_proc/set_logger_level] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/
[rosmaster.master][INFO] 2019-12-28 00:41:52,503: +PUB [/rosout] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40483/
[rosmaster.master][INFO] 2019-12-28 00:41:52,504: +SERVICE [/whycon/get_loggers] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40483/
[rosmaster.master][INFO] 2019-12-28 00:41:52,505: +SERVICE [/whycon/set_logger_level] /whycon http://itachi-HP-Pavilion-Laptop-15-cc1xx:40483/
[rosmaster.master][INFO] 2019-12-28 00:41:52,511: +PUB [/rosout] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42231/
[rosmaster.master][INFO] 2019-12-28 00:41:52,512: +SERVICE [/whycon_display/image_view/get_loggers] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42231/
[rosmaster.master][INFO] 2019-12-28 00:41:52,513: +SERVICE [/usb_cam/image_proc_debayer/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/
[rosmaster.master][INFO] 2019-12-28 00:41:52,513: +SERVICE [/whycon_display/image_view/set_logger_level] /whycon_display/image_view http://itachi-HP-Pavilion-Laptop-15-cc1xx:42231/
[rosmaster.master][INFO] 2019-12-28 00:41:52,514: +PUB [/usb_cam/image_proc_debayer/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/
[rosmaster.master][INFO] 2019-12-28 00:41:52,516: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41921/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/']
[rosmaster.master][INFO] 2019-12-28 00:41:52,517: +PUB [/usb_cam/image_proc_debayer/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/
[rosmaster.master][INFO] 2019-12-28 00:41:52,518: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41921/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:41:52,518: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41921/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/']
[rosmaster.master][INFO] 2019-12-28 00:41:52,519: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41921/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:41:52,519: +PUB [/usb_cam/image_raw/compressedDepth] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/
[rosmaster.master][INFO] 2019-12-28 00:41:52,519: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41921/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40483/']
[rosmaster.master][INFO] 2019-12-28 00:41:52,520: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41921/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40483/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:41:52,521: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41921/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40483/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42231/']
[rosmaster.master][INFO] 2019-12-28 00:41:52,521: +SERVICE [/usb_cam/image_raw/compressedDepth/set_parameters] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/
[rosmaster.master][INFO] 2019-12-28 00:41:52,522: publisherUpdate[/rosout] -> http://itachi-HP-Pavilion-Laptop-15-cc1xx:41921/ ['http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:40483/', 'http://itachi-HP-Pavilion-Laptop-15-cc1xx:42231/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-12-28 00:41:52,522: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:41:52,524: +PUB [/usb_cam/image_raw/compressedDepth/parameter_descriptions] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/
[rosmaster.master][INFO] 2019-12-28 00:41:52,525: +PARAM [/usb_cam/image_proc_debayer/debayer] by /usb_cam/image_proc
[rosmaster.master][INFO] 2019-12-28 00:41:52,526: +PUB [/usb_cam/image_raw/compressedDepth/parameter_updates] /usb_cam http://itachi-HP-Pavilion-Laptop-15-cc1xx:35727/
[rosmaster.master][INFO] 2019-12-28 00:41:52,527: +PUB [/usb_cam/image_mono/compressedDepth] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/
[rosmaster.master][INFO] 2019-12-28 00:41:52,529: +SERVICE [/usb_cam/image_mono/compressedDepth/set_parameters] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/
[rosmaster.master][INFO] 2019-12-28 00:41:52,530: +PUB [/usb_cam/image_mono/compressedDepth/parameter_descriptions] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/
[rosmaster.master][INFO] 2019-12-28 00:41:52,531: +PARAM [/usb_cam/image_raw/compressedDepth/depth_max] by /usb_cam
[rosmaster.master][INFO] 2019-12-28 00:41:52,531: +PUB [/usb_cam/image_mono/compressedDepth/parameter_updates] /usb_cam/image_proc http://itachi-HP-Pavilion-Laptop-15-cc1xx:35683/
[rosmaster.master][INFO] 2019-12-28 00:41:52,532: +PARAM [/usb_cam/image_raw/compressedDepth/depth_quantization] by /usb_cam
